policy,stock_id,stock_name,episode_start_date,episode_return_day0_to_day10,missed_winner
S0_DAY0_ONLY,5434,崇越,2026-06-15,17.307692307692314,True
S0_DAY0_ONLY,6213,聯茂,2026-06-17,34.01869158878505,True
S0_DAY0_ONLY,7795,長廣,2026-06-17,52.75000000000001,True
S0_DAY0_ONLY,2415,錩新,2026-06-22,37.45874587458744,True
S0_DAY0_ONLY,2634,漢翔,2026-06-23,17.50503018108651,True
S0_DAY0_ONLY,2466,冠西電,2026-06-23,64.47602131438721,True
S0_DAY0_ONLY,8046,南電,2026-06-23,13.311331133113312,True
S0_DAY0_ONLY,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
S0_DAY0_ONLY,2352,佳世達,2026-06-24,12.418300653594772,True
S0_DAY0_ONLY,1709,和益,2026-06-25,14.018691588785035,True
S1_DAY1_ONLY,5434,崇越,2026-06-15,17.307692307692314,True
S1_DAY1_ONLY,1515,力山,2026-06-17,51.55642023346305,True
S1_DAY1_ONLY,6213,聯茂,2026-06-17,34.01869158878505,True
S1_DAY1_ONLY,7795,長廣,2026-06-17,52.75000000000001,True
S1_DAY1_ONLY,2415,錩新,2026-06-22,37.45874587458744,True
S1_DAY1_ONLY,6573,虹揚-KY,2026-06-23,28.132992327365724,True
S1_DAY1_ONLY,2634,漢翔,2026-06-23,17.50503018108651,True
S1_DAY1_ONLY,8046,南電,2026-06-23,13.311331133113312,True
S1_DAY1_ONLY,4169,泰宗,2026-06-24,44.55958549222798,True
S1_DAY1_ONLY,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
S1_DAY1_ONLY,2352,佳世達,2026-06-24,12.418300653594772,True
S1_DAY1_ONLY,1709,和益,2026-06-25,14.018691588785035,True
S2_DAY3_ONLY,5434,崇越,2026-06-15,17.307692307692314,True
S2_DAY3_ONLY,1515,力山,2026-06-17,51.55642023346305,True
S2_DAY3_ONLY,6213,聯茂,2026-06-17,34.01869158878505,True
S2_DAY3_ONLY,7795,長廣,2026-06-17,52.75000000000001,True
S2_DAY3_ONLY,1301,台塑,2026-06-17,24.504692387904072,True
S2_DAY3_ONLY,2415,錩新,2026-06-22,37.45874587458744,True
S2_DAY3_ONLY,6573,虹揚-KY,2026-06-23,28.132992327365724,True
S2_DAY3_ONLY,2634,漢翔,2026-06-23,17.50503018108651,True
S2_DAY3_ONLY,2466,冠西電,2026-06-23,64.47602131438721,True
S2_DAY3_ONLY,8046,南電,2026-06-23,13.311331133113312,True
S2_DAY3_ONLY,4169,泰宗,2026-06-24,44.55958549222798,True
S2_DAY3_ONLY,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
S2_DAY3_ONLY,2352,佳世達,2026-06-24,12.418300653594772,True
S2_DAY3_ONLY,1709,和益,2026-06-25,14.018691588785035,True
P10_STAGED_DAY1_DAY3,5434,崇越,2026-06-15,17.307692307692314,True
P10_STAGED_DAY1_DAY3,1515,力山,2026-06-17,51.55642023346305,True
