policy_family,policy,evaluation_scope,availability,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_episode_return,median_episode_return,confirmation_precision,promotion_completed_count,promotion_winner_count,promotion_winner_rate,promotion_neutral_count,promotion_neutral_rate,promotion_loser_count,promotion_loser_rate,promotion_safe_rate,false_confirmation_rate,promotion_delay_median,pre_confirmation_return_mean,pre_confirmation_return_median,post_promotion_mean_return,post_promotion_median_return,late_confirmation_rate,promotion_damage_rate,point_in_time_valid_rate,date_distribution
DAY1,P0_NORMAL_PHASE2_BASELINE,DISCOVERY,AVAILABLE,105,5,5,21.0,20.0,0.0,1.0,7,0.06666666666666667,90,0.8571428571428571,8,0.0761904761904762,0.03911065222971561,0.14318623247977152,0.9238095238095239,0.07216494845360824,1.0,0.0,0.0,3.210741107948848,1.9183168316831756,0.06666666666666667,105,7,0.06666666666666667,90,0.8571428571428571,8,0.0761904761904762,0.9238095238095239,0.9333333333333333,0.0,0.0,0.0,3.210741107948848,1.9183168316831756,0.0,0.0,1.0,"{""2026-06-15"": 50, ""2026-06-16"": 21, ""2026-06-17"": 20, ""2026-06-18"": 9, ""2026-06-22"": 5}"
DAY1,P4_D1_A,DISCOVERY,AVAILABLE,7,2,5,1.4,0.0,0.6,0.06666666666666667,2,0.2857142857142857,5,0.7142857142857143,0,0.0,0.0,0.35433043867586833,1.0,0.2857142857142857,0.2857142857142857,0.9444444444444444,1.0,11.298248244540792,6.166982922201147,0.2857142857142857,7,2,0.2857142857142857,4,0.5714285714285714,1,0.14285714285714285,0.8571428571428571,0.7142857142857143,1.0,3.516020175957205,2.6046511627906943,9.658588991536773,9.649568308786183,0.0,0.0,1.0,"{""2026-06-15"": 5, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0}"
DAY1,P5_D1_B,DISCOVERY,AVAILABLE,6,2,5,1.2,0.0,0.6,0.05714285714285714,2,0.3333333333333333,4,0.6666666666666666,0,0.0,0.0,0.39033429165637346,1.0,0.3333333333333333,0.2857142857142857,0.9555555555555556,1.0,12.13487611652122,5.165366898469371,0.3333333333333333,6,2,0.3333333333333333,3,0.5,1,0.16666666666666666,0.8333333333333334,0.6666666666666666,1.0,4.152656450009144,3.8023255813953494,9.660092438661868,8.326395843504898,0.0,0.0,1.0,"{""2026-06-15"": 4, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0}"
DAY1,P6_D1_C,DISCOVERY,AVAILABLE,3,2,5,0.6,0.0,0.6,0.02857142857142857,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0.0,0.5614970356393196,1.0,0.6666666666666666,0.2857142857142857,0.9888888888888889,1.0,20.954379428934654,24.504692387904072,0.6666666666666666,3,2,0.6666666666666666,1,0.3333333333333333,0,0.0,1.0,0.3333333333333333,1.0,6.768512396842226,7.820646506777895,16.211256756989577,20.116054158607355,0.0,0.0,1.0,"{""2026-06-15"": 1, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0}"
DAY1,P0_NORMAL_PHASE2_BASELINE,VALIDATION,AVAILABLE,39,2,2,19.5,19.5,0.0,1.0,7,0.1794871794871795,25,0.6410256410256411,7,0.1794871794871795,0.08977265424428486,0.3266804579321853,0.8205128205128205,0.21875,1.0,0.0,0.0,3.316726672683989,0.2000000000000001,0.1794871794871795,39,7,0.1794871794871795,25,0.6410256410256411,7,0.1794871794871795,0.8205128205128205,0.8205128205128205,0.0,0.0,0.0,3.316726672683989,0.2000000000000001,0.0,0.0,1.0,"{""2026-06-23"": 20, ""2026-06-24"": 19}"
DAY1,P4_D1_A,VALIDATION,AVAILABLE,10,2,2,5.0,5.0,0.0,0.2564102564102564,3,0.3,5,0.5,2,0.2,0.05668215093776685,0.5098375308778678,0.8,0.375,0.42857142857142855,0.8,0.7142857142857143,12.607954410731733,2.89519811625929,0.3,10,3,0.3,4,0.4,3,0.3,0.7,0.7,1.0,2.305106798678317,0.7848668818223548,11.307150098013999,2.8036995562191636,0.0,0.0,1.0,"{""2026-06-23"": 4, ""2026-06-24"": 6}"
DAY1,P5_D1_B,VALIDATION,AVAILABLE,4,2,2,2.0,2.0,0.0,0.10256410256410256,1,0.25,3,0.75,0,0.0,0.0,0.4898908403969213,1.0,0.25,0.14285714285714285,0.88,1.0,19.468778299769923,6.134574190933817,0.25,4,1,0.25,3,0.75,0,0.0,1.0,0.75,1.0,1.9083967070578578,1.0860353721444338,18.758130667106283,4.445769562048641,0.0,0.0,1.0,"{""2026-06-23"": 1, ""2026-06-24"": 3}"
DAY1,P6_D1_C,VALIDATION,AVAILABLE,1,1,2,0.5,0.5,0.5,0.02564102564102564,1,1.0,0,0.0,0,0.0,0.0,0.7934506882081973,1.0,1.0,0.14285714285714285,1.0,1.0,64.47602131438721,64.47602131438721,1.0,1,1,1.0,0,0.0,0,0.0,1.0,0.0,1.0,4.795737122557742,4.795737122557742,64.23728813559325,64.23728813559325,0.0,0.0,1.0,"{""2026-06-23"": 1, ""2026-06-24"": 0}"
DAY1,P0_NORMAL_PHASE2_BASELINE,LOCKED_EVALUATION,AVAILABLE,24,2,2,12.0,12.0,0.0,1.0,1,0.041666666666666664,19,0.7916666666666666,4,0.16666666666666666,0.06678676282131818,0.3585307082129004,0.8333333333333334,0.05,1.0,0.0,0.0,-1.2175663999537756,-0.9880290838234607,0.041666666666666664,24,1,0.041666666666666664,19,0.7916666666666666,4,0.16666666666666666,0.8333333333333334,0.9583333333333334,0.0,0.0,0.0,-1.2175663999537756,-0.9880290838234607,0.0,0.0,1.0,"{""2026-06-25"": 14, ""2026-07-01"": 10}"
DAY1,P4_D1_A,LOCKED_EVALUATION,AVAILABLE,7,2,2,3.5,3.5,0.0,0.2916666666666667,0,0.0,6,0.8571428571428571,1,0.14285714285714285,0.025679624057823897,0.5131278321392249,0.8571428571428571,0.0,0.0,0.6842105263157895,0.75,-2.3820046026817527,-0.8177570093457764,0.0,7,0,0.0,4,0.5714285714285714,3,0.42857142857142855,0.5714285714285714,1.0,1.0,0.6370585442063196,1.7766497461928932,-4.75665405684717,-2.686567164179099,,,1.0,"{""2026-06-25"": 4, ""2026-07-01"": 3}"
