unit,feature,outcome,n,median,p25,p75,mean,effect_size_winner_vs_neutral,observed_winner_direction,dates_with_winner_neutral_comparison,direction_consistency_by_date,single_date_risk,discovery_p25,discovery_p75,winner_top_quartile_rate,winner_bottom_quartile_rate,neutral_top_quartile_rate,loser_top_quartile_rate
DAY1,day1_return_from_day0_close,WINNER,15,1.2266928361138296,-0.3284151944606295,4.928121586581402,2.8740066083410514,0.39305911281600386,HIGHER,6,0.6666666666666666,False,-0.330033003300334,1.1838006230529663,0.5333333333333333,0.26666666666666666,0.23880597014925373,0.10526315789473684
DAY1,day1_return_from_day0_close,NEUTRAL,134,0.25530285573299727,-0.6094061618661994,1.0417853184568948,-0.5046955950000855,0.39305911281600386,HIGHER,6,0.6666666666666666,False,-0.330033003300334,1.1838006230529663,0.5333333333333333,0.26666666666666666,0.23880597014925373,0.10526315789473684
DAY1,day1_return_from_day0_close,LOSER,19,-1.534526854219953,-4.7802969219579,-0.45761273638273425,-2.823857755915011,0.39305911281600386,HIGHER,6,0.6666666666666666,False,-0.330033003300334,1.1838006230529663,0.5333333333333333,0.26666666666666666,0.23880597014925373,0.10526315789473684
DAY1,day1_market_excess_return,WINNER,15,1.4394075706632203,0.19659821571710312,6.789678612462636,3.249924655442327,0.44930605194026074,HIGHER,6,0.6666666666666666,False,-1.0503160666995637,0.1722678213194495,0.7333333333333333,0.06666666666666667,0.3656716417910448,0.2631578947368421
DAY1,day1_market_excess_return,NEUTRAL,134,-0.1692604937422182,-0.8438787949462234,0.7959108236175128,-0.6403917454451451,0.44930605194026074,HIGHER,6,0.6666666666666666,False,-1.0503160666995637,0.1722678213194495,0.7333333333333333,0.06666666666666667,0.3656716417910448,0.2631578947368421
DAY1,day1_market_excess_return,LOSER,19,-1.683405277959804,-4.662418672440566,-0.016919945243393242,-2.12208738184495,0.44930605194026074,HIGHER,6,0.6666666666666666,False,-1.0503160666995637,0.1722678213194495,0.7333333333333333,0.06666666666666667,0.3656716417910448,0.2631578947368421
DAY1,day1_sector_excess_return,WINNER,14,1.6457375280635955,0.1880204411499803,5.68957838605986,3.257711756675395,0.39228841906680034,HIGHER,5,0.8,False,-2.0795707207252296,1.068948913377496,0.4666666666666667,0.0,0.13432835820895522,0.05263157894736842
DAY1,day1_sector_excess_return,NEUTRAL,60,0.0,-1.3493490921548446,1.311681580956009,-1.492986638667441,0.39228841906680034,HIGHER,5,0.8,False,-2.0795707207252296,1.068948913377496,0.4666666666666667,0.0,0.13432835820895522,0.05263157894736842
DAY1,day1_sector_excess_return,LOSER,18,-1.6969283627990106,-3.2671939283910945,0.1065307467746579,-2.338790024157838,0.39228841906680034,HIGHER,5,0.8,False,-2.0795707207252296,1.068948913377496,0.4666666666666667,0.0,0.13432835820895522,0.05263157894736842
DAY1,day1_close_location,WINNER,15,0.47619047619047616,0.2933436532507734,0.9257703081232502,0.5854435814107372,0.035737252877872674,LOWER,6,0.5,False,0.3703703703703811,0.8749999999999944,0.3333333333333333,0.3333333333333333,0.2462686567164179,0.0
DAY1,day1_close_location,NEUTRAL,133,0.6190476190476203,0.29999999999999716,0.8571428571428571,0.5737998985827375,0.035737252877872674,LOWER,6,0.5,False,0.3703703703703811,0.8749999999999944,0.3333333333333333,0.3333333333333333,0.2462686567164179,0.0
DAY1,day1_close_location,LOSER,19,0.2187500000000007,0.07571428571428411,0.5683760683760704,0.32822889937990946,0.035737252877872674,LOWER,6,0.5,False,0.3703703703703811,0.8749999999999944,0.3333333333333333,0.3333333333333333,0.2462686567164179,0.0
DAY1,day1_upper_shadow,WINNER,15,0.33333333333333137,0.02195225916453455,0.594117647058825,0.3509666749995193,0.6004977390195705,HIGHER,6,0.6666666666666666,False,0.0,0.3249999999999987,0.5333333333333333,0.2,0.30597014925373134,0.3157894736842105
DAY1,day1_upper_shadow,NEUTRAL,133,0.16666666666667324,0.0,0.36363636363635776,0.21464962021509948,0.6004977390195705,HIGHER,6,0.6666666666666666,False,0.0,0.3249999999999987,0.5333333333333333,0.2,0.30597014925373134,0.3157894736842105
DAY1,day1_upper_shadow,LOSER,19,0.16666666666666535,0.05654761904762194,0.38750000000000134,0.24064082718107527,0.6004977390195705,HIGHER,6,0.6666666666666666,False,0.0,0.3249999999999987,0.5333333333333333,0.2,0.30597014925373134,0.3157894736842105
DAY1,day1_volume_ratio,WINNER,15,1.3578633862254352,0.9378118669425974,2.024428147660846,1.7896129344614962,0.4199015781861393,HIGHER,6,0.8333333333333334,False,0.5356309168454618,1.185643934064644,0.6666666666666666,0.06666666666666667,0.27611940298507465,0.5789473684210527
DAY1,day1_volume_ratio,NEUTRAL,134,0.7263761665841626,0.5375057346713641,1.2493668977160755,1.1618145229454426,0.4199015781861393,HIGHER,6,0.8333333333333334,False,0.5356309168454618,1.185643934064644,0.6666666666666666,0.06666666666666667,0.27611940298507465,0.5789473684210527
DAY1,day1_volume_ratio,LOSER,19,1.337812203158604,0.8944487348338015,1.9417800705593362,1.6034910802392386,0.4199015781861393,HIGHER,6,0.8333333333333334,False,0.5356309168454618,1.185643934064644,0.6666666666666666,0.06666666666666667,0.27611940298507465,0.5789473684210527
DAY1,day1_momentum_rank,WINNER,11,72.0,38.0,126.5,92.18181818181819,-0.10656039040680078,LOWER,5,1.0,False,48.75,131.5,0.2,0.26666666666666666,0.1865671641791045,0.21052631578947367
DAY1,day1_momentum_rank,NEUTRAL,97,93.0,49.0,133.0,99.30927835051547,-0.10656039040680078,LOWER,5,1.0,False,48.75,131.5,0.2,0.26666666666666666,0.1865671641791045,0.21052631578947367
DAY1,day1_momentum_rank,LOSER,14,114.5,77.75,137.75,131.71428571428572,-0.10656039040680078,LOWER,5,1.0,False,48.75,131.5,0.2,0.26666666666666666,0.1865671641791045,0.21052631578947367
DAY1,day1_momentum_rank_change,WINNER,11,-5.0,-18.0,13.5,-13.363636363636363,0.13492198514201756,HIGHER,5,1.0,False,-58.25,18.25,0.13333333333333333,0.13333333333333333,0.15671641791044777,0.05263157894736842
DAY1,day1_momentum_rank_change,NEUTRAL,97,-12.0,-50.0,15.0,-21.175257731958762,0.13492198514201756,HIGHER,5,1.0,False,-58.25,18.25,0.13333333333333333,0.13333333333333333,0.15671641791044777,0.05263157894736842
DAY1,day1_momentum_rank_change,LOSER,14,-40.5,-76.25,-13.5,-53.857142857142854,0.13492198514201756,HIGHER,5,1.0,False,-58.25,18.25,0.13333333333333333,0.13333333333333333,0.15671641791044777,0.05263157894736842
DAY1,day1_rs_market_pct,WINNER,15,83.91053391053391,79.37771345875544,92.1547775895602,83.67260644919138,0.49323958959664116,HIGHER,6,0.8333333333333334,False,74.27536231884058,85.43478260869566,0.4,0.13333333333333333,0.23880597014925373,0.21052631578947367
DAY1,day1_rs_market_pct,NEUTRAL,134,79.74010790710098,72.82923299565846,85.29146160517433,77.01726040078529,0.49323958959664116,HIGHER,6,0.8333333333333334,False,74.27536231884058,85.43478260869566,0.4,0.13333333333333333,0.23880597014925373,0.21052631578947367
