unit,stock_id,episode_start_date,confirmation_date,feature_as_of_date,max_source_date,promotion_reference_close,point_in_time_valid,future_feature_used,outcome_used_in_decision,audit_status
DAY0,00913,2026-06-16,2026-06-16,2026-06-16,2026-06-16,52.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00892,2026-06-16,2026-06-16,2026-06-16,2026-06-16,44.99,True,False,False,POINT_IN_TIME_VALID
DAY0,00991A,2026-06-16,2026-06-16,2026-06-16,2026-06-16,19.84,True,False,False,POINT_IN_TIME_VALID
DAY0,0053,2026-06-16,2026-06-16,2026-06-16,2026-06-16,241.8,True,False,False,POINT_IN_TIME_VALID
DAY0,00881,2026-06-16,2026-06-16,2026-06-16,2026-06-16,54.85,True,False,False,POINT_IN_TIME_VALID
DAY0,009816,2026-06-16,2026-06-16,2026-06-16,2026-06-16,15.51,True,False,False,POINT_IN_TIME_VALID
DAY0,1456,2026-06-16,2026-06-16,2026-06-16,2026-06-16,14.55,True,False,False,POINT_IN_TIME_VALID
DAY0,00851,2026-06-16,2026-06-16,2026-06-16,2026-06-16,73.85,True,False,False,POINT_IN_TIME_VALID
DAY0,00911,2026-06-16,2026-06-16,2026-06-16,2026-06-16,66.75,True,False,False,POINT_IN_TIME_VALID
DAY0,00983A,2026-06-16,2026-06-16,2026-06-16,2026-06-16,11.94,True,False,False,POINT_IN_TIME_VALID
DAY0,00989A,2026-06-16,2026-06-16,2026-06-16,2026-06-16,18.36,True,False,False,POINT_IN_TIME_VALID
DAY0,009809,2026-06-16,2026-06-16,2026-06-16,2026-06-16,17.4,True,False,False,POINT_IN_TIME_VALID
DAY0,00898,2026-06-16,2026-06-16,2026-06-16,2026-06-16,8.44,True,False,False,POINT_IN_TIME_VALID
DAY0,00893,2026-06-16,2026-06-16,2026-06-16,2026-06-16,47.54,True,False,False,POINT_IN_TIME_VALID
DAY0,0052,2026-06-16,2026-06-16,2026-06-16,2026-06-16,61.85,True,False,False,POINT_IN_TIME_VALID
DAY0,00922,2026-06-16,2026-06-16,2026-06-16,2026-06-16,40.48,True,False,False,POINT_IN_TIME_VALID
DAY0,0057,2026-06-16,2026-06-16,2026-06-16,2026-06-16,314.05,True,False,False,POINT_IN_TIME_VALID
DAY0,00980A,2026-06-16,2026-06-16,2026-06-16,2026-06-16,24.6,True,False,False,POINT_IN_TIME_VALID
DAY0,00995A,2026-06-16,2026-06-16,2026-06-16,2026-06-16,17.96,True,False,False,POINT_IN_TIME_VALID
DAY0,2340,2026-06-16,2026-06-16,2026-06-16,2026-06-16,39.1,True,False,False,POINT_IN_TIME_VALID
DAY0,1515,2026-06-17,2026-06-17,2026-06-17,2026-06-17,25.7,True,False,False,POINT_IN_TIME_VALID
DAY0,7786,2026-06-17,2026-06-17,2026-06-17,2026-06-17,129.0,True,False,False,POINT_IN_TIME_VALID
DAY0,9136,2026-06-17,2026-06-17,2026-06-17,2026-06-17,16.65,True,False,False,POINT_IN_TIME_VALID
DAY0,5469,2026-06-17,2026-06-17,2026-06-17,2026-06-17,86.6,True,False,False,POINT_IN_TIME_VALID
DAY0,2460,2026-06-17,2026-06-17,2026-06-17,2026-06-17,35.5,True,False,False,POINT_IN_TIME_VALID
DAY0,2489,2026-06-17,2026-06-17,2026-06-17,2026-06-17,48.6,True,False,False,POINT_IN_TIME_VALID
DAY0,4722,2026-06-17,2026-06-17,2026-06-17,2026-06-17,264.0,True,False,False,POINT_IN_TIME_VALID
DAY0,6213,2026-06-17,2026-06-17,2026-06-17,2026-06-17,267.5,True,False,False,POINT_IN_TIME_VALID
DAY0,2611,2026-06-17,2026-06-17,2026-06-17,2026-06-17,14.05,True,False,False,POINT_IN_TIME_VALID
DAY0,7795,2026-06-17,2026-06-17,2026-06-17,2026-06-17,400.0,True,False,False,POINT_IN_TIME_VALID
DAY0,1301,2026-06-17,2026-06-17,2026-06-17,2026-06-17,47.95,True,False,False,POINT_IN_TIME_VALID
DAY0,1802,2026-06-17,2026-06-17,2026-06-17,2026-06-17,69.3,True,False,False,POINT_IN_TIME_VALID
DAY0,1541,2026-06-17,2026-06-17,2026-06-17,2026-06-17,22.5,True,False,False,POINT_IN_TIME_VALID
DAY0,00403A,2026-06-17,2026-06-17,2026-06-17,2026-06-17,10.75,True,False,False,POINT_IN_TIME_VALID
DAY0,6472,2026-06-17,2026-06-17,2026-06-17,2026-06-17,412.5,True,False,False,POINT_IN_TIME_VALID
DAY0,1531,2026-06-17,2026-06-17,2026-06-17,2026-06-17,12.95,True,False,False,POINT_IN_TIME_VALID
DAY0,3535,2026-06-17,2026-06-17,2026-06-17,2026-06-17,134.5,True,False,False,POINT_IN_TIME_VALID
DAY0,2402,2026-06-17,2026-06-17,2026-06-17,2026-06-17,70.9,True,False,False,POINT_IN_TIME_VALID
DAY0,1465,2026-06-17,2026-06-17,2026-06-17,2026-06-17,12.45,True,False,False,POINT_IN_TIME_VALID
DAY0,8039,2026-06-17,2026-06-17,2026-06-17,2026-06-17,146.0,True,False,False,POINT_IN_TIME_VALID
DAY0,0051,2026-06-18,2026-06-18,2026-06-18,2026-06-18,147.7,True,False,False,POINT_IN_TIME_VALID
DAY0,00946,2026-06-18,2026-06-18,2026-06-18,2026-06-18,15.4,True,False,False,POINT_IN_TIME_VALID
DAY0,00733,2026-06-18,2026-06-18,2026-06-18,2026-06-18,78.25,True,False,False,POINT_IN_TIME_VALID
DAY0,009803,2026-06-18,2026-06-18,2026-06-18,2026-06-18,21.97,True,False,False,POINT_IN_TIME_VALID
DAY0,009808,2026-06-18,2026-06-18,2026-06-18,2026-06-18,32.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00896,2026-06-18,2026-06-18,2026-06-18,2026-06-18,27.97,True,False,False,POINT_IN_TIME_VALID
DAY0,00993A,2026-06-18,2026-06-18,2026-06-18,2026-06-18,14.29,True,False,False,POINT_IN_TIME_VALID
DAY0,00762,2026-06-18,2026-06-18,2026-06-18,2026-06-18,121.7,True,False,False,POINT_IN_TIME_VALID
DAY0,00982A,2026-06-18,2026-06-18,2026-06-18,2026-06-18,24.83,True,False,False,POINT_IN_TIME_VALID
DAY0,1905,2026-06-22,2026-06-22,2026-06-22,2026-06-22,18.45,True,False,False,POINT_IN_TIME_VALID
DAY0,2415,2026-06-22,2026-06-22,2026-06-22,2026-06-22,30.3,True,False,False,POINT_IN_TIME_VALID
DAY0,8072,2026-06-22,2026-06-22,2026-06-22,2026-06-22,31.25,True,False,False,POINT_IN_TIME_VALID
DAY0,6919,2026-06-22,2026-06-22,2026-06-22,2026-06-22,119.5,True,False,False,POINT_IN_TIME_VALID
DAY0,00639,2026-06-22,2026-06-22,2026-06-22,2026-06-22,18.91,True,False,False,POINT_IN_TIME_VALID
DAY0,6573,2026-06-23,2026-06-23,2026-06-23,2026-06-23,19.55,True,False,False,POINT_IN_TIME_VALID
DAY0,5283,2026-06-23,2026-06-23,2026-06-23,2026-06-23,57.4,True,False,False,POINT_IN_TIME_VALID
DAY0,6715,2026-06-23,2026-06-23,2026-06-23,2026-06-23,569.0,True,False,False,POINT_IN_TIME_VALID
DAY0,2832,2026-06-23,2026-06-23,2026-06-23,2026-06-23,56.4,True,False,False,POINT_IN_TIME_VALID
DAY0,6243,2026-06-23,2026-06-23,2026-06-23,2026-06-23,41.5,True,False,False,POINT_IN_TIME_VALID
DAY0,3530,2026-06-23,2026-06-23,2026-06-23,2026-06-23,73.6,True,False,False,POINT_IN_TIME_VALID
DAY0,2634,2026-06-23,2026-06-23,2026-06-23,2026-06-23,49.7,True,False,False,POINT_IN_TIME_VALID
DAY0,2466,2026-06-23,2026-06-23,2026-06-23,2026-06-23,56.3,True,False,False,POINT_IN_TIME_VALID
DAY0,2330,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2490.0,True,False,False,POINT_IN_TIME_VALID
DAY0,2646,2026-06-23,2026-06-23,2026-06-23,2026-06-23,21.4,True,False,False,POINT_IN_TIME_VALID
DAY0,6257,2026-06-23,2026-06-23,2026-06-23,2026-06-23,237.0,True,False,False,POINT_IN_TIME_VALID
