unit,feature,outcome,n,median,p25,p75,mean,effect_size_winner_vs_neutral,observed_winner_direction,dates_with_winner_neutral_comparison,direction_consistency_by_date,single_date_risk,discovery_p25,discovery_p75,winner_top_quartile_rate,winner_bottom_quartile_rate,neutral_top_quartile_rate,loser_top_quartile_rate
DAY0,reacceleration_flag,WINNER,15,0.0,0.0,0.0,0.06666666666666667,-0.3300608450769961,HIGHER,6,0.0,False,0.0,0.0,1.0,0.9333333333333333,1.0,1.0
DAY0,reacceleration_flag,NEUTRAL,134,0.0,0.0,0.0,0.19402985074626866,-0.3300608450769961,HIGHER,6,0.0,False,0.0,0.0,1.0,0.9333333333333333,1.0,1.0
DAY0,reacceleration_flag,LOSER,19,0.0,0.0,0.0,0.15789473684210525,-0.3300608450769961,HIGHER,6,0.0,False,0.0,0.0,1.0,0.9333333333333333,1.0,1.0
DAY0,rs_market_pct_day0,WINNER,15,80.8972503617945,75.09908206073968,84.69276789363494,79.67166435023363,0.20799693755113438,HIGHER,6,0.6666666666666666,False,74.49421965317919,83.69565217391305,0.4,0.2,0.29850746268656714,0.3684210526315789
DAY0,rs_market_pct_day0,NEUTRAL,134,78.57670147829337,72.65490796584454,84.87263018319061,77.5557481822907,0.20799693755113438,HIGHER,6,0.6666666666666666,False,74.49421965317919,83.69565217391305,0.4,0.2,0.29850746268656714,0.3684210526315789
DAY0,rs_market_pct_day0,LOSER,19,80.07246376811594,73.7821063274128,87.71993251385877,80.22720174517305,0.20799693755113438,HIGHER,6,0.6666666666666666,False,74.49421965317919,83.69565217391305,0.4,0.2,0.29850746268656714,0.3684210526315789
DAY0,rs_market_pct_day_minus_1,WINNER,15,73.29956584659914,60.289855072463766,84.19583561092995,67.64248037461446,-0.12982579261974664,HIGHER,6,0.6666666666666666,False,63.26086956521739,80.76923076923077,0.3333333333333333,0.3333333333333333,0.23880597014925373,0.2631578947368421
DAY0,rs_market_pct_day_minus_1,NEUTRAL,134,72.08984252462514,63.17793415431012,79.81886079347635,69.70393348917126,-0.12982579261974664,HIGHER,6,0.6666666666666666,False,63.26086956521739,80.76923076923077,0.3333333333333333,0.3333333333333333,0.23880597014925373,0.2631578947368421
DAY0,rs_market_pct_day_minus_1,LOSER,19,70.10086455331412,61.9437899345374,81.41333395846031,68.61820876918654,-0.12982579261974664,HIGHER,6,0.6666666666666666,False,63.26086956521739,80.76923076923077,0.3333333333333333,0.3333333333333333,0.23880597014925373,0.2631578947368421
DAY0,rs_market_pct_day_minus_3,WINNER,15,61.93921852387844,45.40310943732291,78.3842991673483,58.59744581070332,0.035984888334710745,LOWER,6,0.3333333333333333,False,43.46879535558781,73.77656184762785,0.3333333333333333,0.26666666666666666,0.22388059701492538,0.15789473684210525
