trade_date,stock_id,stock_name,actual_position_return,highest_position_return,drawdown_from_peak,momentum_score,previous_momentum_score,momentum_change,tracking_return,tracking_return_change,p3_selected_today,p4_decision,hold_score,winner_state,action
2026-08-25,2617,台航,-3.4848484848484795,0.0,-3.4848484848484795,67.8,,,0.0,,True,CAUTION,4.0,NONE,HOLD
2026-08-26,2615,萬海,20.641208158674075,32.70532897454148,-9.090909090909093,72.1,76.2,-4.1000000000000085,28.63534675615212,-12.86353467561521,False,CAUTION,1.0,WINNER_WEAKENING,HOLD
2026-08-26,1808,潤隆,-2.331226467107095,0.0,-2.5991792065663377,66.5,75.0,-8.5,-1.0423905489923557,-1.0423905489923557,False,CAUTION,4.0,NONE,HOLD
2026-08-26,3006,晶豪科,0.0,0.0,0.0,69.8,,,0.0,,False,CAUTION,4.0,NONE,HOLD
2026-08-27,3653,健策,-5.602006688963201,0.0,-5.602006688963213,72.2,,,0.0,,False,CAUTION,2.0,NONE,HOLD
2026-08-27,6669,緯穎,-2.083333333333337,0.0,-2.083333333333337,75.6,,,0.0,,False,CAUTION,5.0,NONE,HOLD
2026-08-28,6669,緯穎,1.4135789248233,1.4135789248233,0.0,79.4,75.6,3.8000000000000114,5.999263894000737,5.999263894000737,False,CAUTION,9.0,NONE,HOLD
2026-08-28,3653,健策,-2.936241610738255,0.0,-2.936241610738255,78.5,,,0.0,,False,CAUTION,5.0,NONE,HOLD
2026-08-28,6933,AMAX-KY,0.0,0.0,0.0,77.0,,,0.0,,False,CONTINUE,7.0,NONE,HOLD
2026-08-31,3653,健策,0.5033557046979942,0.5033557046979942,0.0,82.1,78.5,3.5999999999999943,3.857824013870828,3.857824013870828,True,CAUTION,11.0,NONE,HOLD
2026-08-31,6933,AMAX-KY,10.000000000000009,10.000000000000009,0.0,90.3,77.0,13.299999999999997,10.0,10.0,False,CONTINUE,12.0,WINNER_STRONG,HOLD
2026-08-31,3017,奇鋐,0.0,0.0,0.0,83.1,,,0.0,,True,CAUTION,7.0,NONE,HOLD
2026-09-01,3653,健策,-1.2583892617449632,0.5033557046979942,-1.7529215358931594,75.9,82.1,-6.199999999999989,2.037277850021673,-1.820546163849155,False,CAUTION,5.0,NONE,HOLD
2026-09-01,6933,AMAX-KY,20.961538461538453,20.961538461538453,0.0,94.0,90.3,3.700000000000003,20.961538461538463,10.961538461538463,False,CONTINUE,12.0,WINNER_STRONG,HOLD
2026-09-01,3017,奇鋐,-0.43795620437956373,0.0,-0.43795620437956373,77.8,83.1,-5.299999999999997,1.715137956748695,1.715137956748695,True,CAUTION,9.0,NONE,HOLD
