stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,branch_r_eligible,branch_exclusion_state,momentum_rank,down_survival_ratio,down_survival_ratio_top120_percentile,entry_close,maturity_status,branch_maturity_status,episode_outcome,decision_date,feature_as_of_date,max_source_date,point_in_time_valid
00686R,群益臺灣加權反1,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,118.0,0.8571428571428571,65.41666666666667,1.08,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
1220,台榮,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,110.0,0.8571428571428571,65.41666666666667,11.4,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
1233,天仁,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,87.0,1.0,89.16666666666667,29.0,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
1235,興泰,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,113.0,1.0,89.16666666666667,37.4,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
1614,三洋電,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,86.0,0.5714285714285714,25.0,31.1,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
2762,世界健身-KY,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,28.0,1.0,89.16666666666667,85.5,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
3679,新至陞,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,108.0,0.7142857142857143,43.333333333333336,109.0,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
4770,上品,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,111.0,0.8571428571428571,65.41666666666667,220.0,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
6281,全國電,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,100.0,0.8571428571428571,65.41666666666667,51.4,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
6969,成信實業*-創,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,96.0,0.2857142857142857,5.833333333333333,26.4,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
7740,熙特爾-創,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,79.0,0.5714285714285714,25.0,159.5,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
8367,建新國際,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,80.0,0.8571428571428571,65.41666666666667,40.7,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
9939,宏全,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,107.0,0.8571428571428571,65.41666666666667,128.5,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
00753L,中信中國50正2,2026-07-21,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,49.0,0.6666666666666666,44.166666666666664,9.55,PENDING_DAY10,PENDING_DAY10,,2026-07-21,2026-07-21,2026-07-21,True
2029,盛餘,2026-07-21,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,72.0,0.8333333333333334,71.25,20.75,PENDING_DAY10,PENDING_DAY10,,2026-07-21,2026-07-21,2026-07-21,True
2347,聯強,2026-07-21,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,107.0,0.6666666666666666,44.166666666666664,85.3,PENDING_DAY10,PENDING_DAY10,,2026-07-21,2026-07-21,2026-07-21,True
8045,達運光電,2026-07-21,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,78.0,0.5,22.5,66.5,PENDING_DAY10,PENDING_DAY10,,2026-07-21,2026-07-21,2026-07-21,True
9103,美德醫療-DR,2026-07-21,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,92.0,0.3333333333333333,9.166666666666666,5.29,PENDING_DAY10,PENDING_DAY10,,2026-07-21,2026-07-21,2026-07-21,True
9924,福興,2026-07-21,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,111.0,0.8333333333333334,71.25,40.25,PENDING_DAY10,PENDING_DAY10,,2026-07-21,2026-07-21,2026-07-21,True
00636,國泰中國A50,2026-07-22,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,89.0,0.8,59.166666666666664,29.1,PENDING_DAY10,PENDING_DAY10,,2026-07-22,2026-07-22,2026-07-22,True
00669R,國泰美國道瓊反1,2026-07-22,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,118.0,1.0,89.16666666666667,5.32,PENDING_DAY10,PENDING_DAY10,,2026-07-22,2026-07-22,2026-07-22,True
00693U,期街口S&P黃豆,2026-07-22,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,20.0,1.0,89.16666666666667,22.38,PENDING_DAY10,PENDING_DAY10,,2026-07-22,2026-07-22,2026-07-22,True
