stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,momentum_rank,entry_close,episode_outcome,maturity_status,available_forward_sessions,branch_n_eligible,outcome_maturity_status,day0_state,decision_date,feature_as_of_date,max_source_date,point_in_time_valid,input_status,confirmation_date,day1_c_pass,state,promotion_reference_close,predicate_trace,missing_required_feature
1232,大統益,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,76.0,151.0,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1308,亞聚,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,69.0,14.8,LOSER,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2101,南港,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,59.0,34.55,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2321,東訊,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,113.0,15.2,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2374,佳能,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,120.0,75.5,LOSER,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2482,連宇,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,91.0,18.2,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
3596,智易,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,72.0,197.0,LOSER,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
3694,海華,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,57.0,67.6,LOSER,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
4564,元翎,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,47.0,21.0,LOSER,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
4764,雙鍵,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,38.0,302.5,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6142,友勁,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,81.0,10.65,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6225,天瀚,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,96.0,24.2,NEUTRAL,EXCLUDED_NON_NORMAL,10,False,MATURED,EXCLUDED_NON_NORMAL,2026-07-13,2026-07-13,2026-07-13,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
