branch_unit,cohort_source,stock_id,episode_start_date,decision_date,feature_as_of_date,max_source_date,branch_eligible,decision_state,point_in_time_valid,future_feature_in_decision,outcome_in_decision,day3_rescue_used,config_hash
N_DAY0,EXISTING_PENDING,2704,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,3702,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,4104,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,4106,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,4736,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,5306,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,5525,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,5538,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6534,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8411,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8462,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8481,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,910322,2026-07-14,2026-07-14,2026-07-14,2026-07-14,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2015,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6464,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6598,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6669,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6887,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8478,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8499,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,9927,2026-07-15,2026-07-15,2026-07-15,2026-07-15,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00715L,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00916,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1101,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1103,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1110,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1436,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1439,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1442,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1732,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2459,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2524,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,3266,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6789,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8404,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,OilGasElectricity,2026-07-16,2026-07-16,2026-07-16,2026-07-16,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00632R,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00642U,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00664R,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00676R,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1201,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1231,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1323,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2008,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2024,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2105,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2115,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2608,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
