stock_id,stock_name,asset_type,asset_class,region,strategy,themes,tracking_index,is_leveraged,is_inverse,is_active,confidence
00402A,主動安聯美國科技,ETF,EQUITY,US,ACTIVE,,,False,False,True,MEDIUM
00404A,主動聯博動能50,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00405A,主動富邦台灣龍耀,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00406A,主動中信台灣收益,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00410A,主動永豐科技趨勢,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00991B,貝萊德A級公司債,ETF,BOND,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
009821,野村稀土關鍵資源,ETF,EQUITY,TAIWAN,THEMATIC,稀土,,False,False,False,MEDIUM
009826,貝萊德世界股票,ETF,EQUITY,GLOBAL,MARKET_CAP,,,False,False,False,MEDIUM
00407A,主動凱基台灣,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
009824,群益美國科技巨頭,ETF,EQUITY,US,THEMATIC,,,False,False,False,MEDIUM
00408A,主動第一金優股息,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00912,中信臺灣智慧50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
009805,台新美國電力基建,ETF,EQUITY,US,THEMATIC,,,False,False,False,MEDIUM
00913,兆豐台灣晶圓製造,ETF,EQUITY,TAIWAN,THEMATIC,晶圓,,False,False,False,MEDIUM
00915,凱基優選高股息30,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00916,國泰全球品牌50,ETF,EQUITY,GLOBAL,MARKET_CAP,,,False,False,False,MEDIUM
00917,中信特選金融,ETF,EQUITY,TAIWAN,MARKET_CAP,金融,,False,False,False,MEDIUM
00918,大華優利高填息30,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00919,群益台灣精選高息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,臺灣指數公司特選臺灣上市上櫃精選高股息指數,False,False,False,HIGH
00920,富邦ESG綠色電力,ETF,EQUITY,TAIWAN,ESG,,,False,False,False,MEDIUM
00921,兆豐龍頭等權重,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00922,國泰台灣領袖50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00923,群益台ESG低碳50,ETF,EQUITY,TAIWAN,ESG,,,False,False,False,MEDIUM
00925,新光標普電動車,ETF,EQUITY,TAIWAN,THEMATIC,電動車,,False,False,False,MEDIUM
00944,野村趨勢動能高息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00945B,凱基美國非投等債,ETF,BOND,US,MARKET_CAP,,,False,False,False,MEDIUM
00946,群益科技高息成長,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00947,台新臺灣IC設計,ETF,EQUITY,TAIWAN,THEMATIC,IC設計,,False,False,False,MEDIUM
00949,復華日本龍頭,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
00951,台新日本半導體,ETF,EQUITY,JAPAN,THEMATIC,半導體,,False,False,False,MEDIUM
00952,凱基台灣AI50,ETF,EQUITY,TAIWAN,THEMATIC,AI,,False,False,False,MEDIUM
00953B,群益優選非投等債,ETF,BOND,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00954,中信日本半導體,ETF,EQUITY,JAPAN,THEMATIC,半導體,,False,False,False,MEDIUM
00956,中信日經高股息,ETF,EQUITY,JAPAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00964,中信亞太高股息,ETF,EQUITY,ASIA,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00965,元大航太防衛科技,ETF,EQUITY,TAIWAN,THEMATIC,航太防衛,,False,False,False,MEDIUM
00971,野村美國研發龍頭,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00972,野村日本動能高息,ETF,EQUITY,JAPAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
009800,中信NASDAQ,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
009801,中信美國創新科技,ETF,EQUITY,US,THEMATIC,,,False,False,False,MEDIUM
009802,富邦旗艦50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
009803,玉山市值動能50,ETF,EQUITY,TAIWAN,GROWTH,,,False,False,False,MEDIUM
009804,聯邦台精彩50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
