evaluation_date,market_return_1d,market_return_3d,market_return_5d,market_return_10d,market_return_20d,market_drawdown_from_20d_high,market_drawdown_from_60d_high,days_since_market_20d_high,market_ma5_slope,market_ma10_slope,market_ma20_slope,market_below_ma5,market_below_ma10,market_below_ma20,market_below_ma10_days,market_below_ma20_days,negative_market_days_5d,negative_market_days_10d,production_market_regime,production_risk_off_streak,advancing_count,declining_count,unchanged_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,limit_up_count,limit_down_count,median_stock_return_1d,median_stock_return_5d,volume_expanding_count,advance_decline_ratio_3d,advance_decline_ratio_5d,breadth_change_3d,breadth_change_5d,index_stock_divergence,market_path_state,weak_feature_count,breadth20_p30,breadth_change3_p30,return5_p30,threshold_source
2026-06-11,-0.17600705508826753,-0.8121779803497597,-5.534458352106264,-1.1159938803440461,3.3476680618177657,-7.123891176680774,-7.123891176680774,6,-1322.898000000001,-33.916999999994005,302.74349999999686,True,True,True,4,2,4,5,RISK_OFF,2,539,712,98,0.7570224719101124,27.15654952076677,26.389776357827476,39.233226837060705,119,171,0.695906432748538,18,6,-0.1984126984126977,-3.6363636363636376,256,1.3967692686076874,0.9585671565112893,-3.258785942492011,-26.389776357827465,-1.8980947157426264,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-12,2.3629032669238548,-1.1976439029322439,-2.001067650242039,-1.2605923062512847,7.278378018651344,-4.929318567102814,-4.929318567102814,7,-1332.703999999998,-208.21400000000722,312.27150000000256,False,True,False,5,0,3,5,VOLATILE_RANGE,0,1041,235,72,4.4297872340425535,56.23003194888179,35.84664536741214,50.22364217252397,157,37,4.243243243243243,45,5,1.1612043529299787,-1.4492753623188415,240,1.839815229738755,1.7444065395653727,-1.6613418530351325,-12.3961661341853,-0.5517922879231973,WEAKENING,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-15,2.7801147591163256,5.023534697310894,4.35422747695664,0.13031037381299182,11.017289032378596,-2.2862445209943627,-2.2862445209943627,8,-307.1380000000063,-99.18000000000029,444.9779999999955,False,False,False,0,0,2,5,VOLATILE_RANGE,0,943,328,75,2.875,65.87859424920129,48.498402555910545,56.42172523961661,231,34,6.794117647058823,57,8,0.8867213913918648,2.0408163265306145,279,2.6872699019842226,2.299019007973123,15.015974440894567,13.929712460063897,2.3134111504260257,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-16,0.9079897147366012,6.163993709307136,2.471231045506883,0.5528860242187461,14.02253011532386,-1.3990136713621149,-1.3990136713621149,9,419.4120000000039,-25.294000000001688,656.7740000000049,False,False,False,0,0,2,5,VOLATILE_RANGE,0,480,781,88,0.614596670934699,55.39936102236421,44.60063897763578,50.798722044728436,150,63,2.380952380952381,26,5,-0.3389830508474634,0.4545454545454408,211,2.639794634992418,1.8018084720301928,11.56549520766773,-1.0862619808306633,2.0166855909614423,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-17,0.14887842373985105,3.867754427082848,6.13491468238454,-1.2522180771240898,14.63380810288244,-1.2522180771240898,-1.2522180771240898,10,1130.162000000004,-27.080999999998312,799.7684999999983,False,False,False,0,0,1,5,VOLATILE_RANGE,0,778,431,144,1.8051044083526682,58.27476038338658,50.095846645367416,52.204472843450475,203,61,3.3278688524590163,45,3,0.3351955307262511,1.9261637239165408,188,1.7649003597624564,2.096302157048007,1.9808306709265082,10.798722044728429,4.208750958467999,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-18,1.2812629489166616,2.353041468167816,7.684314009955151,1.7245704993228639,12.321031052588438,0.0,0.0,0,1414.4680000000008,45.78500000000349,829.3594999999987,False,False,False,0,0,0,4,BULL_TREND,0,747,482,121,1.549792531120332,55.84664536741214,55.39936102236421,53.03514376996805,243,60,4.05,57,3,0.27155477552947005,2.5464198147935546,285,1.323164536802567,2.254856168890051,-3.3865814696485614,13.801916932907346,5.137894195161596,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-22,2.7468083641090546,4.218192899721651,8.088176695712646,5.925259158118279,12.949616458987734,0.0,0.0,0,1908.0119999999952,287.65400000000227,821.3549999999959,False,False,False,0,0,0,3,BULL_TREND,0,717,542,94,1.3228782287822878,51.18210862619809,57.50798722044729,54.12140575079872,273,73,3.73972602739726,68,4,0.19474196689386325,1.4167303206094273,384,1.5592583894184298,1.633474367837998,3.3226837060702863,3.8977635782747555,6.671446375103218,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-23,-1.3423538551671332,2.666367899307276,3.7528038753230186,8.270436969775275,7.919114479749978,-1.3423538551671332,-1.3423538551671332,1,1718.3739999999962,705.6180000000095,701.3389999999999,False,False,False,0,0,1,3,VOLATILE_RANGE,0,288,972,93,0.2962962962962963,36.16613418530352,45.11182108626198,45.68690095846645,104,135,0.7703703703703704,17,10,-1.0729613733905574,-0.16515276630882925,280,1.0563223520663059,1.117733627097257,-6.517571884984022,-10.73482428115016,3.917956641631848,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-24,-2.244236544506295,-0.907345712490204,0.5117095499832969,2.995586120752214,5.7856601793390805,-3.556464803899173,-3.556464803899173,2,1102.1080000000002,760.760000000002,572.4010000000053,True,False,False,0,0,2,4,VOLATILE_RANGE,0,562,688,102,0.8168604651162791,29.456869009584665,44.34504792332268,44.281150159744406,105,122,0.860655737704918,24,5,-0.11441199799616109,0.0,233,0.8120116633982883,1.1581863859335733,-8.753993610223645,-6.517571884984029,0.5117095499832969,NORMAL,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-25,0.4596947241310545,-3.1131189608372245,0.8236519121946673,7.0090969366721545,4.515599862619979,-3.1131189608372245,-3.1131189608372245,3,463.1880000000092,796.6750000000029,398.6469999999972,True,False,False,0,0,2,3,VOLATILE_RANGE,0,597,644,110,0.9270186335403726,30.031948881789138,41.21405750798722,41.533546325878596,127,165,0.7696969696969697,18,3,0.0,-0.3603896103896165,196,0.6800584649843167,0.9825692309711138,-12.587859424920126,-10.670926517571878,1.1840415225842837,NORMAL,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-26,-3.639586070859835,-5.369119109821197,-4.07496362869415,3.2962173802406847,2.1434379156503036,-6.639400387629135,-6.639400387629135,4,-256.2320000000036,579.1179999999949,272.60050000000047,True,True,True,1,1,3,3,RISK_OFF,1,124,1192,35,0.1040268456375839,11.757188498402556,17.316293929712458,25.495207667731627,49,414,0.11835748792270531,7,32,-2.2556390977443663,-3.170028818443804,298,0.6159686480980792,0.6934160938745644,-20.191693290734825,-27.539936102236425,-0.9049348102503463,WEAKENING,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-29,0.9605633701698091,-2.266764544909605,-5.742612665581792,1.8810913707882237,0.596786171443231,-5.742612665581792,-5.742612665581792,5,-851.4360000000015,528.2880000000005,160.03699999999662,True,True,True,2,2,3,3,RISK_OFF,2,851,411,88,2.070559610705596,25.23961661341853,22.108626198083066,29.77635782747604,83,182,0.45604395604395603,21,5,0.43895777334603814,-2.9598452653372576,162,1.0338683632945183,0.842952370259226,-14.504792332268366,-24.34504792332268,-2.782767400244534,RISK_OFF,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-30,2.5022500050000174,-0.27964387185370754,-2.0694831175365858,1.6056571151523702,1.7380598267542569,-3.384057186293432,-3.384057186293432,6,-1121.958000000006,298.20799999999144,99.51400000000285,False,False,False,0,0,2,3,VOLATILE_RANGE,0,963,305,82,3.1573770491803277,49.39297124600639,36.29392971246006,39.04153354632588,119,82,1.451219512195122,60,2,1.0130858706808077,-0.8556149732620311,221,1.7773211685078365,1.4151685208360323,-2.4920127795527165,-6.645367412140573,-1.2138681442745547,WEAKENING,2,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-01,1.9361786033055939,5.490539301118003,2.1184051638012624,2.640954795315076,3.208442289503055,-1.513399974152485,-1.513399974152485,7,-548.1919999999955,276.958000000006,125.83200000000215,False,False,False,0,0,1,3,VOLATILE_RANGE,0,579,674,102,0.8590504451038575,49.96805111821086,37.18849840255591,38.977635782747605,110,125,0.88,35,1,0.0,-0.5258581488809866,287,2.0289957016632614,1.4236065168335479,13.482428115015978,-5.303514376996802,2.644263312682249,NORMAL,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-02,-0.5845085145384732,3.8761419469821146,1.056960873206636,1.8893184638446137,0.6134419993818252,-2.0890625369830107,-2.0890625369830107,8,97.91000000000349,280.54899999999907,126.73400000000402,False,False,False,0,0,2,4,VOLATILE_RANGE,0,770,491,92,1.5682281059063137,60.191693290734825,43.38658146964856,43.322683706070286,138,94,1.4680851063829787,54,4,0.33248081841430466,-0.181818181818183,288,1.861551866730167,1.5518484113067363,13.546325878594246,1.7891373801916899,1.238779055024819,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-03,0.07799904843728278,1.4193974709658885,4.955738790660269,0.678830608713632,2.415108020454726,-2.012692937445837,-2.012692937445837,9,734.6300000000047,239.19900000000052,142.49200000000565,False,False,False,0,0,1,4,BULL_TREND,0,999,287,64,3.480836236933798,67.98722044728434,59.04153354632587,56.16613418530352,252,28,9.0,59,3,1.0150000686816263,3.327300246693876,399,1.9693715959813236,2.2272102895659787,17.12460063897764,30.670926517571893,1.6284385439663929,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-06,-0.47932242026720306,-0.9838577987319574,3.45887435305412,-2.482368069212726,3.2958043475463272,-2.482368069212726,-2.482368069212726,10,850.8499999999985,-0.2930000000051223,143.68049999999494,True,False,False,0,0,2,5,VOLATILE_RANGE,0,679,563,109,1.2060390763765543,61.980830670926515,60.319488817891376,56.677316293929714,262,36,7.277777777777778,29,7,0.06381620931716903,2.952029520295185,367,2.0850344730722226,2.054306182700171,17.69968051118211,26.900958466453673,0.5068448327589348,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-07,-2.3139251131799488,-2.7063273786500863,-1.4022487578022935,-3.4427125740302933,4.542997022259265,-4.7388530442376116,-4.7388530442376116,11,623.7100000000064,-249.1240000000107,228.24699999999575,True,True,True,1,1,3,5,VOLATILE_RANGE,0,194,1094,65,0.1773308957952468,30.670926517571885,38.91373801916933,38.849840255591054,96,146,0.6575342465753424,8,35,-1.7561983471074405,0.0,349,1.621402069701867,1.4582969520231546,-4.472843450479232,-0.19169329073482544,-1.4022487578022935,NORMAL,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-08,0.5613566316491347,-2.236417559237136,-2.732045073703193,-0.6715156938206235,2.303954596008806,-4.204098278416413,-4.204098278416413,12,-74.9780000000028,-311.5849999999991,224.58749999999418,True,True,True,2,2,3,4,VOLATILE_RANGE,0,482,776,97,0.6211340206185567,23.706070287539934,36.42172523961661,36.74121405750799,80,150,0.5333333333333333,17,5,-0.2574665293511913,0.0,206,0.6681679975967866,1.4107136671260943,-19.42492012779553,-2.236421725239616,-2.732045073703193,WEAKENING,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-09,-0.8304469216941945,-2.581342754453253,-2.9726708106424526,-1.947129904793532,4.925490809368727,-4.999632395372499,-4.999632395372499,13,-664.1859999999942,-283.1380000000063,256.7685000000056,True,True,True,3,3,3,5,VOLATILE_RANGE,0,540,712,104,0.7584269662921348,21.789137380191693,35.52715654952077,34.4408945686901,75,150,0.5,22,6,-0.16133733981763543,-0.4844961240310197,199,0.51896396090198,1.2487534392032584,-22.236421725239616,-8.881789137380188,-2.488174686611433,RISK_OFF,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-13,0.05712759959790592,-0.21678084729451763,-2.9929060367306026,1.814512148499392,5.170539793545492,-4.945360965750778,-4.945360965750778,14,-814.846000000005,-40.1079999999929,269.5049999999974,True,True,True,4,4,3,4,VOLATILE_RANGE,0,452,831,73,0.5439229843561973,24.281150159744406,29.840255591054316,30.926517571884983,94,283,0.3321554770318021,26,22,-0.46512634129456387,-2.452316076294292,269,0.6411613237556302,0.6613707886877384,-7.923322683706072,-25.239616613418537,-0.5405899604363107,RISK_OFF,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-14,-1.4159599757781582,-2.178797102662977,-3.90588703290784,-0.5821124046942461,1.2880288998809997,-6.291296609596142,-6.291296609596142,15,-921.6180000000022,-35.38399999999092,246.4519999999975,True,True,True,5,5,3,5,RISK_OFF,1,288,991,73,0.29061553985872857,21.533546325878593,20.511182108626198,24.34504792332268,82,452,0.18141592920353983,13,8,-1.1135912698412742,-3.700280687341684,438,0.5309884968356875,0.4782860813841731,-12.396166134185307,-32.33226837060703,-0.2056063455661561,RISK_OFF,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-15,1.9974987678246237,0.6106986698816153,0.33527481078674537,-1.071675333885025,0.5167743500174682,-4.419466414028395,-4.419466414028395,16,-613.2120000000068,5.249000000003434,151.72849999999744,False,True,True,6,6,2,5,RISK_OFF,2,1122,170,62,6.6,50.031948881789134,36.48562300319489,35.07987220447284,153,76,2.013157894736842,34,0,1.4376742098549666,-0.4739336492891044,215,2.4781795080716424,1.7628199022251239,0.6389776357827444,-3.7699680511182123,0.8092084600758498,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-16,-0.014485578959644307,0.5386892878265881,-0.23927279263031842,-2.964780825789737,-0.40212455186393603,-4.433311807691043,-4.433311807691043,17,-355.07800000000134,-215.0280000000057,30.965000000003783,False,True,True,7,7,3,6,RISK_OFF,3,454,794,108,0.5717884130982368,43.194888178913736,33.1629392971246,32.843450479233226,127,198,0.6414141414141414,18,8,-0.4201680672268948,-0.60606060606061,200,2.487467984318989,1.7529507807210596,1.9169329073482437,-3.8977635782747626,0.36678781343029154,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-17,-6.473887769375475,-4.619523245924317,-5.9163555810534,-8.71315261628406,-6.988453353601853,-10.62019194617012,-10.62019194617012,18,-528.0580000000045,-596.122000000003,-157.7864999999947,True,True,True,8,8,3,6,RISK_OFF,4,134,1185,36,0.11308016877637131,16.549520766773163,15.910543130990416,21.150159744408946,55,671,0.08196721311475409,3,95,-3.3266129032258007,-3.678929765886285,487,2.4282895272915366,1.6238814212179071,-3.194888178913736,-13.290734824281152,-2.237425815167115,RISK_OFF,2,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-20,-0.5192486654369555,-6.97299831103847,-6.45832176449278,-9.257936299262404,-8.641951395883375,-11.08429540665975,-11.08429540665975,19,-1144.7180000000008,-979.7819999999992,-370.29150000000664,True,True,True,9,9,4,7,RISK_OFF,5,507,754,91,0.6724137931034483,18.78594249201278,18.14696485623003,22.492012779552716,65,535,0.12149532710280374,11,19,-0.3701589331384647,-3.192159103550801,285,0.4524274583260193,1.6495795829673572,-12.587859424920126,-8.434504792332266,-3.266162660941979,RISK_OFF,3,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-21,4.200665729086439,-3.051201337512921,-1.1289743942223374,-4.990764962661398,-7.349243876031575,-6.0886208576739325,-7.349243876031575,19,-1223.8479999999981,-1072.732999999993,-536.512999999999,False,True,True,10,10,3,6,RISK_OFF,6,1070,210,68,5.095238095238095,33.9297124600639,28.817891373801917,27.412140575079874,89,65,1.3692307692307693,45,2,1.2823340606520572,-0.7882488505292606,186,1.9602440190393053,2.6105040940432302,-5.431309904153352,3.067092651757193,-0.3407255436930767,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-22,1.3404285093867818,5.049088063233187,-1.7659038398618154,-1.436549659832842,-4.829805958091882,-4.664519590914217,-6.1073267267834686,14,-848.3419999999969,-730.7770000000019,-489.9505000000063,False,False,True,0,11,3,5,RISK_OFF,7,749,517,86,1.448742746615087,49.39297124600639,31.437699680511184,26.900958466453673,65,92,0.7065217391304348,29,3,0.3744255109360273,-1.8599129402453451,234,2.405464878318877,1.580252643366248,5.750798722044728,-8.178913738019169,0.09400910038352972,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-23,0.05583840370428916,5.656365062650615,-1.6968117027119867,-1.9320244865955516,-2.590566332780231,-4.611285780489971,-6.054898556832422,15,-417.01200000000244,-386.04500000000553,-348.8149999999878,False,False,True,0,12,2,5,RISK_OFF,8,490,750,112,0.6533333333333333,51.501597444089455,30.287539936102238,25.623003194888177,63,129,0.4883720930232558,8,9,-0.2473325896208689,-1.7937219730941756,153,2.3991047250621724,1.5965616274132672,3.130990415335461,-7.220447284345049,0.09691027038218891,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-07-24,-2.6665516185772398,-1.3067883680168313,2.304993500310637,-3.747733692341315,-5.6218903536592535,-7.15487508345033,-8.55999317993923,16,-119.28199999999924,-323.66999999999825,-303.40400000000227,True,True,True,1,13,2,5,RISK_OFF,9,387,862,100,0.44895591647331784,32.26837060702875,25.175718849840255,22.93929712460064,57,239,0.2384937238493724,7,13,-0.7434944237918351,0.264250684349554,162,0.8503439988072466,1.6637367769526565,-4.472843450479235,1.7891373801916934,2.040742815961083,RISK_OFF,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
