stock_name,primary_sector,sub_sector,classification_confidence,source_combination,momentum_score,momentum_rank,market_excess_return_1d,market_excess_return_3d,market_excess_return_5d,market_down_day_outperformance_count_5d,market_down_day_outperformance_count_10d,market_down_days_5d,market_down_days_10d,rs_market_pct_day0,rs_market_pct_day_minus_3,rs_market_pct_day_minus_5,rs_slope_3d,rs_slope_5d,momentum_rank_change_1d,momentum_rank_change_3d,trend_efficiency_5d,trend_efficiency_10d,max_drawdown_prior_5d,max_drawdown_prior_10d,institution_buy_days_5d,institution_buy_days_10d,institution_flow_3d,institution_flow_previous_3d,institution_flow_acceleration,flow_support_on_market_down_days,return_1d,return_3d,return_5d,volume_ratio_1d_20d,production_market_regime,market_path_state,down_survival_ratio,institution_flow_persistence,down_survival_ratio_top120_percentile,down_survival_ratio_state_percentile,momentum_rank_change_3d_top120_percentile,momentum_rank_change_3d_state_percentile,trend_efficiency_10d_top120_percentile,trend_efficiency_10d_state_percentile,institution_flow_persistence_top120_percentile,institution_flow_persistence_state_percentile,primary_pocket_state,primary_pocket_strength_streak,sub_pocket_state,sub_pocket_strength_streak,pocket_state,down_survival_ratio_pocket_percentile,bundle_A,bundle_B,bundle_C,stock_id,evaluation_date,episode_start_date,episode_kind,missing_top120_sessions_before_entry,comparable_phase3e_cohort,dataset,entry_close,future_trade_date_10d,future_return_10d,outcome,maturity_status,policy0,policy0_data_source,policy1,policy2,policy3,policy3_bundle_chosen_on_dataset_a
元大高股息,,,,A,69.0,49.0,-0.23002049382550016,1.0109994246345622,1.9773606230059082,0,0,1,1,85.19593613933236,,,,,,,0.668639053254437,0.4754521963824288,-1.6317485898469042,-2.5249169435215935,5,9,1917161626.62,4640379546.29,-2723217919.67,1.0,-1.6317485898469042,0.9927611168562445,7.4603873239436735,0.9445681704084178,VOLATILE_RANGE,NORMAL,0.0,0.9,19.166666666666668,19.166666666666668,,,52.5,52.5,92.5,92.5,,,,,NO_POCKET,38.0,False,False,False,0056,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,48.83,2026-06-11,1.5564202334630517,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
元大台灣高息低波,,,,A,59.8,120.0,0.8664916999464811,-0.5169980882966052,-5.303332181620601,1,1,1,1,63.7155297532656,,,,,,,0.11111111111111462,0.07142857142857324,-0.5352363960749229,-1.080108010801073,5,10,1518331691.45,1347940627.8999999,170391063.5500002,1.0,-0.5352363960749229,-0.5352363960749229,0.17969451931716396,1.181202830049902,VOLATILE_RANGE,NORMAL,1.0,1.0,69.16666666666667,69.16666666666667,,,9.166666666666666,9.166666666666666,99.16666666666667,99.16666666666667,,,,,NO_POCKET,88.0,False,False,False,00713,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,55.75,2026-06-11,6.188340807174897,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
國泰永續高股息,,,,A,74.4,24.0,-0.39859923622082016,1.7821460418353086,2.7811378605923753,0,0,1,1,84.03483309143687,,,,,,,0.6755162241887902,0.35074626865671604,-1.8003273322422242,-4.231863442389761,5,7,3396303731.4800005,5814785640.540001,-2418481909.0600004,1.0,-1.8003273322422242,1.7639077340569909,8.26416456153014,0.9442430008584564,VOLATILE_RANGE,NORMAL,0.0,0.7,19.166666666666668,19.166666666666668,,,39.166666666666664,39.166666666666664,68.33333333333333,68.33333333333333,,,,,NO_POCKET,38.0,False,False,False,00878,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,30.0,2026-06-11,5.3333333333333455,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
中信關鍵半導體,,,,A,76.0,14.0,-1.0803458146239286,0.7876882935292429,2.9167280507483184,0,0,1,1,80.18867924528301,,,,,,,0.6035242290748905,0.06892895015906667,-2.4820739106453327,-10.054739268222423,5,6,2316235266.8199997,2612066152.32,-295830885.5000005,1.0,-2.4820739106453327,0.7694499857509252,8.399754751686084,0.7901620894803518,VOLATILE_RANGE,NORMAL,0.0,0.6,19.166666666666668,19.166666666666668,,,8.333333333333332,8.333333333333332,45.0,45.0,,,,,NO_POCKET,38.0,False,False,False,00891,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,35.36,2026-06-11,-4.666289592760176,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
群益台灣精選高息,,,,A,65.5,81.0,-0.12340188664757834,3.440153123941414,1.603290675617064,0,0,1,1,85.63134978229319,,,,,,,0.6811594202898543,0.6461538461538457,-1.5251299826689824,-1.5251299826689824,4,9,1894757570.8599997,3748616485.56,-1853858914.7000003,0.0,-1.5251299826689824,3.4219148161630963,7.086317376554829,1.2985415683333048,VOLATILE_RANGE,NORMAL,0.0,0.9,19.166666666666668,19.166666666666668,,,73.33333333333333,73.33333333333333,92.5,92.5,,,,,NO_POCKET,38.0,False,False,False,00919,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,28.41,2026-06-11,6.265399507215763,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
主動群益科技創新,,,,A,61.6,107.0,-2.54493857064525,-4.437995113972348,-3.558861449098494,0,0,1,1,64.44121915820028,,,,,,,0.15740740740740733,0.0488322717622074,-4.809725158562372,-8.552631578947366,5,8,2102395869.2600002,1589254362.4500003,513141506.80999994,1.0,-3.946666666666654,-4.456233421750666,1.9241652518392716,1.4298425381454998,VOLATILE_RANGE,NORMAL,0.0,0.8,19.166666666666668,19.166666666666668,,,5.0,5.0,83.33333333333334,83.33333333333334,,,,,NO_POCKET,38.0,False,False,False,00992A,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,18.01,2026-06-11,-4.219877845641317,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
倉佑,ELECTRICAL_MACHINERY,車用機械傳動設備及零配件,HIGH,C,77.3,9.0,11.401728096021413,29.126219528435595,39.508185952840805,1,1,1,1,96.22641509433963,,,,,,,1.0,0.8486842105263159,0.0,-4.013961605584637,4,7,21483339.3,3117399.3500000006,18365939.95,1.0,10.000000000000009,29.107981220657276,44.99121265377857,2.3801046270643655,VOLATILE_RANGE,NORMAL,1.0,0.7,69.16666666666667,69.16666666666667,,,94.16666666666667,94.16666666666667,68.33333333333333,68.33333333333333,NARROW_LEADERSHIP,0.0,EMERGING_POCKET,0.0,NARROW_LEADERSHIP,70.0,False,False,False,1568,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,41.25,2026-06-11,-7.878787878787874,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,1.0,0.0,bundle_A
中化生,PHARMACEUTICAL,中藥材、西藥原料藥,HIGH,A,81.7,2.0,2.0314510179357703,-0.6036522394853638,0.3447878685986616,1,1,1,1,95.06531204644412,,,,,,,0.6470588235294115,0.3450292397660823,-1.4925373134328401,-3.1081081081081097,5,6,11810088.150000002,13148026.200000003,-1337938.0500000007,1.0,0.6297229219143663,-0.6218905472636815,5.827814569536427,0.6136408432484701,VOLATILE_RANGE,NORMAL,1.0,0.6,69.16666666666667,69.16666666666667,,,38.333333333333336,38.333333333333336,45.0,45.0,NO_POCKET,0.0,NO_POCKET,0.0,NO_POCKET,88.0,False,False,False,1762,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,39.95,2026-06-11,-11.013767209011283,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A
中釉,BUILDING_MATERIALS_CONSTRUCTION,建材原料,HIGH,B,61.3,109.0,-4.5667403724470645,-8.525025657172392,1.0220753398785476,0,0,1,1,97.677793904209,,,,,,,0.1444759206798866,0.11961722488038283,-15.314401622718044,-15.314401622718044,1,4,-220902480.0,-13764331.75,-207138148.25,0.0,-5.968468468468469,-8.54326396495071,6.505102040816313,1.1690542150254757,VOLATILE_RANGE,NORMAL,0.0,0.4,19.166666666666668,19.166666666666668,,,15.833333333333332,15.833333333333332,13.333333333333334,13.333333333333334,NARROW_LEADERSHIP,0.0,NO_POCKET,0.0,NARROW_LEADERSHIP,20.0,False,False,False,1809,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,41.75,2026-06-11,15.68862275449101,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,1.0,0.0,bundle_A
麗正,SEMICONDUCTOR,其他IC/二極體製造,HIGH,AB,75.1,20.0,10.576040022626898,15.552218890302605,29.744246026334984,1,1,1,1,99.34687953555878,,,,,,,0.7881355932203391,0.6943521594684385,-3.6818851251840923,-3.6818851251840923,3,6,19805952.29999998,5952188.800000001,13853763.499999978,0.0,9.174311926605494,15.533980582524286,35.22727272727275,2.113618598091764,VOLATILE_RANGE,NORMAL,1.0,0.6,69.16666666666667,69.16666666666667,,,80.0,80.0,45.0,45.0,NO_POCKET,0.0,EMERGING_POCKET,1.0,EMERGING_POCKET,63.57142857142857,False,False,False,2302,2026-05-28,2026-05-28,WINDOW_FIRST_SEEN,,False,LEFT_CENSORED,35.7,2026-06-11,-11.764705882352944,,EXCLUDED_LEFT_CENSORED,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,1.0,0.0,bundle_A
