evaluation_date,advancing_count,declining_count,unchanged_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,limit_up_count,limit_down_count,median_stock_return_1d,median_stock_return_5d,volume_expanding_count,advance_decline_ratio_3d,advance_decline_ratio_5d,breadth_change_3d,breadth_change_5d,index_stock_divergence
2026-05-28,449,809,92,0.5550061804697157,32.9073482428115,47.539936102236425,43.194888178913736,108,178,0.6067415730337079,32,7,-0.4447937045259809,0.2744356939571424,530,,,,,5.2085910069806225
2026-05-29,1016,247,86,4.113360323886639,54.82428115015975,58.977635782747605,51.8849840255591,280,67,4.17910447761194,47,1,1.1321683485109535,0.6097617653346599,451,,,,,5.222006356011121
2026-06-01,944,340,66,2.776470588235294,65.62300319488817,66.51757188498402,61.469648562300314,390,53,7.3584905660377355,75,1,0.9781279897948303,1.4393540459891163,615,2.4816123641972165,,,,2.4408917587418477
2026-06-02,640,616,94,1.0389610389610389,59.61661341853035,62.23642172523962,60.95846645367412,339,61,5.557377049180328,47,5,0.0,1.5743073047858935,488,2.642930650360991,,17.763578274760384,,3.0940964330800735
2026-06-03,938,360,51,2.6055555555555556,66.19808306709265,67.22044728434506,66.83706070287539,471,48,9.8125,60,1,1.0489510489510412,3.1070853941958188,559,2.1403290609172965,2.2178707374216486,14.952076677316292,,1.8692346289418627
2026-06-04,526,754,69,0.6976127320954907,53.03514376996805,61.980830670926515,65.62300319488817,285,49,5.816326530612245,44,7,-0.3610108303249038,3.3898305084745672,451,1.4473764422040285,2.2463920477468036,4.153354632587856,22.428115015974434,1.2874988061991166
2026-06-05,424,847,75,0.500590318772137,38.466453674121404,54.12140575079872,62.61980830670927,182,64,2.84375,20,13,-0.6849315068493123,1.3657240109108737,393,1.2679195354743948,1.5238380467239034,1.6613418530351467,10.734824281150168,-0.6101286934557693
2026-06-08,121,1187,38,0.10193765796124685,13.993610223642172,28.498402555910545,42.49201277955272,59,205,0.28780487804878047,17,48,-2.8729628531018845,-1.8442622950819665,393,0.4333802362762918,0.988931460669094,-24.345047923322674,-18.977635782747598,-2.2034099509479095
2026-06-09,955,308,85,3.1006493506493507,25.495207667731627,36.61341853035144,51.8849840255591,151,73,2.0684931506849313,60,0,1.0973957549299973,-1.0638297872340385,290,1.2343924424609118,1.4012691230067564,-13.738019169329071,-9.073482428115021,-0.8082517733321914
2026-06-10,318,956,76,0.33263598326359833,21.46964856230032,27.731629392971247,41.405750798722046,128,195,0.6564102564102564,14,20,-1.4197336255148962,-3.828828828828823,398,1.1784076639580656,0.9466852085483648,-21.21405750798722,-25.431309904153345,-3.1313056204380185
