dataset,market_path_state,unique_stocks,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate
A,NORMAL,168,168,9,9,18.666666666666668,19.0,0.0,1.0,15,0.08928571428571429,134,0.7976190476190477,19,0.1130952380952381,0.07360824777409578,0.1698804839539041,0.8869047619047619,0.10067114093959731,1.0,0.0,0.0,2.6027295414905596,1.4524020414188654,0.09659147869674185,0.7245771836999907,0.17883133760326742,0.8211686623967327
A,RISK_OFF,35,35,2,2,17.5,17.5,0.0,1.0,4,0.11428571428571428,24,0.6857142857142857,7,0.2,0.10042446419270429,0.3589161320454949,0.8,0.14285714285714285,1.0,0.0,0.0,0.9476184863626965,-0.40650406504064707,0.11666666666666667,0.6833333333333333,0.2,0.8
A,WEAKENING,43,43,3,3,14.333333333333334,13.0,0.0,1.0,3,0.06976744186046512,28,0.6511627906976745,12,0.27906976744186046,0.16746613716712536,0.42691028803882003,0.7209302325581395,0.0967741935483871,1.0,0.0,0.0,0.1936617515812253,-0.978053435114512,0.09294871794871795,0.6142191142191142,0.29283216783216787,0.7071678321678322
B,NORMAL,63,63,4,4,15.75,15.5,0.0,1.0,1,0.015873015873015872,33,0.5238095238095238,29,0.4603174603174603,0.34308864490553836,0.5821074821137787,0.5396825396825397,0.029411764705882353,1.0,0.0,0.0,-7.773821474542608,-5.000000000000004,0.017857142857142856,0.5306956115779645,0.4514472455648926,0.5485527544351074
B,RISK_OFF,13,13,1,1,13.0,13.0,0.0,1.0,0,0.0,6,0.46153846153846156,7,0.5384615384615384,0.29143795558562896,0.7679393232503864,0.46153846153846156,0.0,,0.0,0.0,-6.01780489218129,-6.4189189189189255,0.0,0.46153846153846156,0.5384615384615384,0.46153846153846156
B,WEAKENING,11,11,1,1,11.0,11.0,0.0,1.0,0,0.0,8,0.7272727272727273,3,0.2727272727272727,0.09746059213308628,0.5656453033189257,0.7272727272727273,0.0,,0.0,0.0,-1.9337283859695058,-1.30434782608696,0.0,0.7272727272727273,0.2727272727272727,0.7272727272727273
A+B,NORMAL,231,231,13,13,17.76923076923077,17.0,0.0,1.0,16,0.06926406926406926,167,0.7229437229437229,48,0.2077922077922078,0.1604610289508567,0.26468306339513026,0.7922077922077922,0.08743169398907104,1.0,0.0,0.0,-0.2272389174275767,0.19920318725097363,0.07236552920763448,0.6649213153547517,0.2627131554376136,0.7372868445623865
A+B,RISK_OFF,48,48,3,3,16.0,15.0,0.0,1.0,4,0.08333333333333333,30,0.625,14,0.2916666666666667,0.18241578856605184,0.4317925992458151,0.7083333333333334,0.11764705882352941,1.0,0.0,0.0,-0.9388503453263,-2.0547479522128986,0.07777777777777778,0.6094017094017095,0.3128205128205128,0.6871794871794873
A+B,WEAKENING,54,54,4,4,13.5,12.0,0.0,1.0,3,0.05555555555555555,36,0.6666666666666666,15,0.2777777777777778,0.17616827587686873,0.4089044303760367,0.7222222222222222,0.07692307692307693,1.0,0.0,0.0,-0.2396954986605905,-1.0995736859177374,0.06971153846153846,0.6424825174825175,0.28780594405594406,0.712194055944056
