stock_id,episode_start_date,dataset,entry_close,path_outcome,winner_hit_date,loser_hit_date,day10_outcome,future_return_10d
020036,2026-06-11,A,9.14,NO_BARRIER_HIT,,,NEUTRAL,6.236323851203496
1227,2026-06-11,A,28.85,NO_BARRIER_HIT,,,NEUTRAL,0.6932409012131657
1438,2026-06-11,A,24.05,HIT_LOSER_FIRST,,2026-06-15,NEUTRAL,-5.197505197505192
1532,2026-06-11,A,23.05,NO_BARRIER_HIT,,,NEUTRAL,-2.1691973969631184
1714,2026-06-11,A,14.4,HIT_WINNER_FIRST,2026-06-15,,WINNER,28.819444444444443
2313,2026-06-11,A,275.0,HIT_LOSER_FIRST,,2026-06-15,LOSER,-19.090909090909093
2355,2026-06-11,A,58.7,HIT_LOSER_FIRST,,2026-06-24,LOSER,-11.925042589437817
2383,2026-06-11,A,5095.0,HIT_LOSER_FIRST,,2026-06-12,NEUTRAL,3.140333660451433
2723,2026-06-11,A,68.3,NO_BARRIER_HIT,,,NEUTRAL,-0.14641288433381305
2905,2026-06-11,A,14.3,NO_BARRIER_HIT,,,NEUTRAL,3.4965034965035002
3003,2026-06-11,A,67.0,NO_BARRIER_HIT,,,NEUTRAL,-1.9402985074626788
3025,2026-06-11,A,69.7,NO_BARRIER_HIT,,,NEUTRAL,-3.730272596843631
5388,2026-06-11,A,86.1,HIT_LOSER_FIRST,,2026-06-23,LOSER,-11.03368176538908
5519,2026-06-11,A,33.85,NO_BARRIER_HIT,,,NEUTRAL,0.4431314623338123
5546,2026-06-11,A,17.0,NO_BARRIER_HIT,,,NEUTRAL,-5.000000000000004
6133,2026-06-11,A,22.75,NO_BARRIER_HIT,,,NEUTRAL,-5.054945054945048
6141,2026-06-11,A,31.6,HIT_WINNER_FIRST,2026-06-16,,WINNER,23.417721518987335
6189,2026-06-11,A,52.3,HIT_WINNER_FIRST,2026-06-16,,NEUTRAL,-3.441682600382401
8070,2026-06-11,A,58.8,HIT_LOSER_FIRST,,2026-06-17,LOSER,-8.673469387755095
9945,2026-06-11,A,26.05,NO_BARRIER_HIT,,,NEUTRAL,2.111324376199608
2393,2026-06-12,A,70.9,HIT_LOSER_FIRST,,2026-06-29,NEUTRAL,-5.9238363892806785
