stock_id,stock_name,entry_type,signal_first_seen_date,entry_signal_date,entry_execution_date,entry_day_index,entry_p3_selected,entry_hit_count,entry_momentum,entry_p4,entry_mark_to_market_return,entry_price,allocation,shares,exit_reason,exit_signal_date,exit_execution_date,exit_p4,exit_mark_to_market_return,exit_price,holding_days,realized_pnl,realized_return_pct
6177,達麗,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,68.2,CAUTION,-1.42,48.7,100000,2053.388090349076,P4_STOP,2026-08-11,2026-08-12,STOP_OBSERVING,-1.93,47.6,1,-2258.7268993839825,-2.258726899383982
7711,永擎,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,69.7,CAUTION,0.0,445.5,100000,224.4668911335578,REAL_POSITION_STOP_LOSS,2026-08-11,2026-08-12,CAUTION,0.49,434.0,1,-2581.369248035917,-2.5813692480359167
2014,中鴻,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,73.7,CAUTION,-0.83,17.9,100000,5586.59217877095,P4_STOP,2026-08-12,2026-08-13,STOP_OBSERVING,-3.59,17.2,2,-3910.614525139652,-3.9106145251396516
2014,中鴻,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-11,2026-08-12,3,False,1,69.8,CAUTION,-2.49,17.6,100000,5681.818181818181,P4_STOP,2026-08-12,2026-08-13,STOP_OBSERVING,-3.59,17.2,1,-2272.727272727294,-2.272727272727294
3605,宏致,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,79.5,CAUTION,-1.36,119.5,100000,836.8200836820083,TAKE_PROFIT,2026-08-13,2026-08-14,CAUTION,19.46,128.0,3,7112.970711297065,7.112970711297065
3034,聯詠,EARLY_HEALTHY_PULLBACK,2026-08-11,2026-08-12,2026-08-13,2,False,1,75.8,CAUTION,-1.29,545.0,100000,183.4862385321101,P4_STOP,2026-08-14,2026-08-17,STOP_OBSERVING,-5.88,498.5,4,-8532.110091743118,-8.53211009174312
2615,萬海,EARLY_HEALTHY_PULLBACK,2026-08-10,2026-08-11,2026-08-12,2,False,1,77.4,CAUTION,-1.91,87.7,100000,1140.2508551881413,TAKE_PROFIT,2026-08-17,2026-08-18,CAUTION,12.16,98.9,6,12770.809578107175,12.770809578107176
2615,萬海,EARLY_HEALTHY_PULLBACK,2026-08-10,2026-08-12,2026-08-13,3,False,1,71.7,CAUTION,-1.91,88.8,100000,1126.126126126126,TAKE_PROFIT,2026-08-17,2026-08-18,CAUTION,12.16,98.9,5,11373.873873873876,11.373873873873876
3443,創意,EARLY_HEALTHY_PULLBACK,2026-08-12,2026-08-13,2026-08-14,2,False,1,75.6,CAUTION,-0.72,5830.0,100000,17.152658662092623,REAL_POSITION_STOP_LOSS,2026-08-19,2026-08-20,CAUTION,-5.11,5300.0,6,-9090.909090909103,-9.090909090909102
2603,長榮,EARLY_HEALTHY_PULLBACK,2026-08-11,2026-08-12,2026-08-13,2,False,1,69.6,CAUTION,-1.15,217.0,100000,460.8294930875576,TAKE_PROFIT,2026-08-19,2026-08-20,CAUTION,10.83,240.5,7,10829.493087557596,10.829493087557596
2851,中再保,EARLY_HEALTHY_PULLBACK,2026-08-14,2026-08-17,2026-08-18,2,False,1,70.8,CAUTION,-1.77,39.65,100000,2522.068095838588,TAKE_PROFIT,2026-08-20,2026-08-21,CAUTION,11.48,44.25,3,11601.513240857515,11.601513240857516
2851,中再保,EARLY_HEALTHY_PULLBACK,2026-08-14,2026-08-18,2026-08-19,3,False,1,75.8,CAUTION,-0.88,40.35,100000,2478.3147459727384,TAKE_PROFIT,2026-08-20,2026-08-21,CAUTION,11.48,44.25,2,9665.427509293673,9.665427509293673
6226,光鼎,DEEP_PULLBACK,2026-08-18,2026-08-19,2026-08-20,2,False,1,73.4,CAUTION,-8.19,22.3,100000,4484.304932735426,TAKE_PROFIT,2026-08-25,2026-08-26,CAUTION,10.34,27.7,6,24215.24663677129,24.215246636771294
6226,光鼎,DEEP_PULLBACK,2026-08-18,2026-08-21,2026-08-24,4,False,2,80.2,CAUTION,-8.62,23.3,100000,4291.845493562231,TAKE_PROFIT,2026-08-25,2026-08-26,CAUTION,10.34,27.7,2,18884.1201716738,18.8841201716738
3008,大立光,EARLY_HEALTHY_PULLBACK,2026-08-17,2026-08-18,2026-08-19,2,False,1,75.6,CAUTION,-0.75,5720.0,100000,17.482517482517483,P4_STOP,2026-08-25,2026-08-26,STOP_OBSERVING,7.32,5875.0,7,2709.7902097902115,2.7097902097902113
2606,裕民,EARLY_HEALTHY_PULLBACK,2026-08-18,2026-08-19,2026-08-20,2,False,1,74.4,CAUTION,-0.57,70.4,100000,1420.4545454545453,TAKE_PROFIT,2026-08-25,2026-08-26,CAUTION,11.59,71.0,6,852.2727272727207,0.8522727272727206
8039,台虹,DEEP_PULLBACK,2026-08-14,2026-08-17,2026-08-18,2,False,1,78.8,CAUTION,-9.6,284.5,100000,351.493848857645,TAKE_PROFIT,2026-08-26,2026-08-27,CAUTION,11.87,340.0,9,19507.908611599298,19.507908611599298
6472,保瑞,EARLY_HEALTHY_PULLBACK,2026-08-20,2026-08-21,2026-08-24,2,False,1,78.0,CAUTION,-1.52,461.5,100000,216.68472372697724,P4_STOP,2026-08-28,2026-08-31,STOP_OBSERVING,-5.84,433.0,7,-6175.51462621885,-6.17551462621885
6669,緯穎,EARLY_HEALTHY_PULLBACK,2026-08-25,2026-08-26,2026-08-27,2,False,1,76.8,CAUTION,-2.02,6960.0,100000,14.367816091954023,P4_STOP,2026-08-31,2026-09-01,STOP_OBSERVING,2.45,7050.0,5,1293.103448275855,1.2931034482758552
6669,緯穎,EARLY_HEALTHY_PULLBACK,2026-08-25,2026-08-27,2026-08-28,3,False,1,75.6,CAUTION,-1.59,7245.0,100000,13.802622498274673,P4_STOP,2026-08-31,2026-09-01,STOP_OBSERVING,2.45,7050.0,4,-2691.511387163555,-2.6915113871635548
3135,凌航,EARLY_HEALTHY_PULLBACK,2026-08-21,2026-08-25,2026-08-26,3,False,1,72.4,CAUTION,-1.64,187.5,100000,533.3333333333334,P4_STOP,2026-09-01,2026-09-02,STOP_OBSERVING,-5.46,173.0,7,-7733.3333333333285,-7.733333333333328
2882,國泰金,EARLY_HEALTHY_PULLBACK,2026-08-31,2026-09-01,2026-09-02,2,False,1,72.5,CAUTION,-1.33,110.0,100000,909.0909090909091,P4_STOP,2026-09-02,2026-09-03,STOP_OBSERVING,-3.11,109.5,1,-454.54545454545587,-0.4545454545454559
8150,南茂,EARLY_HEALTHY_PULLBACK,2026-08-26,2026-08-28,2026-08-31,3,False,1,68.5,CAUTION,-1.84,89.8,100000,1113.58574610245,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-3.36,87.9,4,-2115.812917594638,-2.1158129175946376
3714,富采,EARLY_HEALTHY_PULLBACK,2026-08-28,2026-08-31,2026-09-01,2,False,1,76.7,CAUTION,-1.44,64.4,100000,1552.7950310559004,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-1.6,63.2,3,-1863.3540372670977,-1.8633540372670978
3714,富采,EARLY_HEALTHY_PULLBACK,2026-08-28,2026-09-01,2026-09-02,3,False,1,74.9,CAUTION,0.0,62.9,100000,1589.825119236884,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-1.6,63.2,2,476.94753577106167,0.4769475357710617
2395,研華,EARLY_HEALTHY_PULLBACK,2026-09-01,2026-09-02,2026-09-03,2,False,1,78.4,CAUTION,-2.4,715.0,100000,139.86013986013987,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-4.94,685.0,1,-4195.804195804187,-4.195804195804187
