stock_id,stock_name,episode_start_date,action_date,from_state,to_state,forward_return_1d,forward_return_3d,forward_return_5d,barrier_outcome_from_transition,point_in_time_valid,evidence
5285,界霖,2026-05-28,2026-06-02,HEALTHY_PULLBACK,DETERIORATING,0.0,1.324503311258285,-3.6423841059602613,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -84, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -248563691.8, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 0.8583601457049506, ""excess_3d"": -3.84704708980963}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
5285,界霖,2026-05-28,2026-06-08,HEALTHY_PULLBACK,DETERIORATING,-0.3424657534246589,-0.91324200913242,0.6849315068493178,HIT_WINNER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 2}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 188782376.69999996, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -1.0958483455787649, ""excess_3d"": 3.0521370135470622}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
6166,凌華,2026-05-28,2026-06-02,CONTINUATION,DETERIORATING,-3.7878787878787845,0.7575757575757569,4.166666666666674,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -51, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": -0.1680663731679554, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": true}, ""Institution Flow"": {""raw"": {""acceleration"": -88967265.5, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -1.6075172391076586, ""excess_3d"": -2.471484116022471}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
6239,力成,2026-05-28,2026-06-02,HEALTHY_PULLBACK,DETERIORATING,-1.1527377521613813,-2.5936599423631135,-7.49279538904899,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -92, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": -0.6508608956930525, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": true}, ""Institution Flow"": {""raw"": {""acceleration"": -5753775246.0, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -5.675178564090766, ""excess_3d"": -7.339048983587338}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
6414,樺漢,2026-05-28,2026-06-02,CONTINUATION,DETERIORATING,0.5221932114882533,0.26109660574411553,4.699738903394257,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -14, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": -0.10092740408480931, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": true}, ""Institution Flow"": {""raw"": {""acceleration"": 265542442.5, ""buy_days_5d"": 4}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 1.5134151506647875, ""excess_3d"": 4.25049622297915}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
2374,佳能,2026-05-29,2026-06-03,HEALTHY_PULLBACK,DETERIORATING,-0.8578431372548878,-11.029411764705888,-12.254901960784315,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -71, ""days_outside_top120"": 4}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -410486221.3, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -3.0705035840870476, ""excess_3d"": -5.7820229257318}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
2417,圓剛,2026-05-29,2026-06-03,HEALTHY_PULLBACK,DETERIORATING,-3.937007874015752,-9.350393700787407,-9.74409448818897,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -114, ""days_outside_top120"": 4}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -84427757.8, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -4.287286800870261, ""excess_3d"": -0.18547661489975997}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
2455,全新,2026-05-29,2026-06-02,HEALTHY_PULLBACK,DETERIORATING,3.759398496240607,0.0,-1.0025062656641603,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -238, ""days_outside_top120"": 3}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 385312516.0, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -4.455040867063687, ""excess_3d"": -2.4862772342638673}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
2630,亞航,2026-05-29,2026-06-05,HEALTHY_PULLBACK,DETERIORATING,-4.790419161676651,-5.8682634730539025,-6.706586826347294,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 6}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -24014628.700000003, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 0.3788404554651126, ""excess_3d"": -1.4994941679709162}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
2645,長榮航太,2026-05-29,2026-06-02,REACCELERATING,DETERIORATING,1.2048192771084265,2.108433734939763,4.518072289156616,NO_BARRIER_HIT,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -45, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 50980521.5, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -4.252037675518661, ""excess_3d"": -3.1824738514024453}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
2645,長榮航太,2026-05-29,2026-06-12,HEALTHY_PULLBACK,DETERIORATING,2.4024024024023927,0.9009009009008917,4.204204204204198,NO_BARRIER_HIT,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 9}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -327609108.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -2.662304464528642, ""excess_3d"": -2.836938229632602}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
3017,奇鋐,2026-05-29,2026-06-04,REACCELERATING,DETERIORATING,-4.059040590405905,-6.088560885608851,-13.837638376383765,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": 169, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -1783614760.0, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -3.3962560860695046, ""excess_3d"": -3.441929948543998}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
3046,建碁,2026-05-29,2026-06-02,CONTINUATION,DETERIORATING,0.48309178743961567,-2.898550724637683,-6.28019323671497,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -53, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": 4.7719814876510185, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -25832828.4, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -3.452671733489676, ""excess_3d"": 9.75242571818149}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
4916,事欣科,2026-05-29,2026-06-04,REACCELERATING,DETERIORATING,-2.0408163265306145,-2.4489795918367308,-6.530612244897959,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": 34, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": 0.14569798858360627, ""rs_slope_5d"": 0.2615842503344908}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -2585297.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 0.07612731794937044, ""excess_3d"": 2.1922447267120893}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
6446,藥華藥,2026-05-29,2026-06-03,HEALTHY_PULLBACK,DETERIORATING,4.338153503893216,3.0033370411568505,9.677419354838701,HIT_WINNER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 3}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -2839229780.0, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -2.3121887282112064, ""excess_3d"": -7.192279335988195}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
6757,台灣虎航-創,2026-05-29,2026-06-02,CONTINUATION,DETERIORATING,-1.241134751773043,-3.546099290780147,-6.560283687943258,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -128, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -14025678.299999982, ""buy_days_5d"": 3}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -4.728403906664546, ""excess_3d"": -1.482278017327321}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
8114,振樺電,2026-05-29,2026-06-03,REACCELERATING,DETERIORATING,-3.0487804878048808,-16.056910569105685,-17.682926829268297,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": -38, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": 0.7333980026771579, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 28821263.5, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -5.319476614985419, ""excess_3d"": -3.8589460026548617}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}"
1303,南亞,2026-06-01,2026-06-05,REACCELERATING,DETERIORATING,-6.6985645933014375,-9.282296650717702,1.9138755980861344,HIT_LOSER_FIRST,True,"{""Momentum Rank"": {""raw"": {""rank_change_3d"": 5, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": 0.1319915420240534, ""rs_slope_5d"": 3.8634713144517066}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -9060138310.8, ""buy_days_5d"": 5}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -4.528023704068085, ""excess_3d"": -6.043510763329396}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}"
