stock_id,episode_start_date,action_date,old_episode_return_copied_to_candidate_day,old_episode_outcome_copied_to_candidate_day,recalculated_forward_return_10d_from_action_date,forward_outcome_from_action_date,forward_maturity_date,copy_pattern_detected,outcome_label_changed_after_recalculation,audit_classification
00631L,2026-06-15,2026-06-22,3.641758834637177,NEUTRAL,-6.219748305905126,LOSER,2026-07-06,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00631L,2026-06-15,2026-07-01,3.641758834637177,NEUTRAL,-5.800405268490372,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00638R,2026-06-29,2026-06-29,1.3595166163141936,NEUTRAL,1.3595166163141936,NEUTRAL,2026-07-14,False,False,NO_COPY_PATTERN
00639,2026-06-22,2026-06-22,-4.283447911158111,NEUTRAL,-4.283447911158111,NEUTRAL,2026-07-06,False,False,NO_COPY_PATTERN
00639,2026-06-22,2026-06-30,-4.283447911158111,NEUTRAL,-4.255319148936176,NEUTRAL,2026-07-15,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00643,2026-07-01,2026-07-01,-4.270633397312862,NEUTRAL,-4.270633397312862,NEUTRAL,2026-07-16,False,False,NO_COPY_PATTERN
00648R,2026-06-30,2026-06-30,-0.990099009900991,NEUTRAL,-0.990099009900991,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00651R,2026-06-30,2026-06-30,-7.8767123287671215,LOSER,-7.8767123287671215,LOSER,2026-07-15,False,False,NO_COPY_PATTERN
00651R,2026-06-30,2026-07-01,-7.8767123287671215,LOSER,-9.450171821305853,LOSER,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00652,2026-06-30,2026-06-30,0.8479709267110724,NEUTRAL,0.8479709267110724,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00652,2026-06-30,2026-07-01,0.8479709267110724,NEUTRAL,0.3928679359322951,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00656R,2026-06-29,2026-06-29,1.718213058419238,NEUTRAL,1.7182130584192379,NEUTRAL,2026-07-14,False,False,NO_COPY_PATTERN
00657,2026-06-15,2026-06-15,1.9183168316831756,NEUTRAL,1.9183168316831756,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00657,2026-06-15,2026-06-16,1.9183168316831756,NEUTRAL,1.5422578655151176,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00661,2026-06-15,2026-06-15,1.7357222844344822,NEUTRAL,1.7357222844344822,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00661,2026-06-15,2026-06-16,1.7357222844344822,NEUTRAL,1.3919821826280598,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00663L,2026-06-15,2026-06-15,3.7639405204461074,NEUTRAL,3.7639405204461074,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00663L,2026-06-15,2026-06-16,3.7639405204461074,NEUTRAL,5.25830258302582,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00663L,2026-06-15,2026-06-18,3.7639405204461074,NEUTRAL,0.8042895442359255,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00663L,2026-06-15,2026-06-22,3.7639405204461074,NEUTRAL,-6.697171381031608,LOSER,2026-07-06,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00663L,2026-06-15,2026-07-01,3.7639405204461074,NEUTRAL,-6.441717791411039,LOSER,2026-07-16,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00666R,2026-06-30,2026-06-30,-8.463035019455244,LOSER,-8.463035019455244,LOSER,2026-07-15,False,False,NO_COPY_PATTERN
00666R,2026-06-30,2026-07-01,-8.463035019455244,LOSER,-10.536585365853657,LOSER,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00671R,2026-06-29,2026-06-29,-0.406504065040647,NEUTRAL,-0.40650406504064707,NEUTRAL,2026-07-14,False,False,NO_COPY_PATTERN
00671R,2026-06-29,2026-07-20,-0.406504065040647,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00671R,2026-06-29,2026-07-22,-0.406504065040647,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00674R,2026-06-25,2026-06-25,-1.9792342634652793,NEUTRAL,-1.9792342634652793,NEUTRAL,2026-07-09,False,False,NO_COPY_PATTERN
00674R,2026-06-25,2026-06-30,-1.9792342634652793,NEUTRAL,-1.1010362694300557,NEUTRAL,2026-07-15,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00674R,2026-06-25,2026-07-01,-1.9792342634652793,NEUTRAL,-1.3565891472868241,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00675L,2026-06-15,2026-06-15,3.8514653981893465,NEUTRAL,3.8514653981893465,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00675L,2026-06-15,2026-06-16,3.8514653981893465,NEUTRAL,5.106382978723412,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00675L,2026-06-15,2026-06-18,3.8514653981893465,NEUTRAL,1.2557246269759181,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00675L,2026-06-15,2026-06-22,3.8514653981893465,NEUTRAL,-6.648351648351647,LOSER,2026-07-06,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00675L,2026-06-15,2026-07-01,3.8514653981893465,NEUTRAL,-6.578947368421051,LOSER,2026-07-16,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00678,2026-06-30,2026-06-30,-0.2972504334902037,NEUTRAL,-0.29725043349020375,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00678,2026-06-30,2026-07-01,-0.2972504334902037,NEUTRAL,1.195814648729443,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00678,2026-06-30,2026-07-22,-0.2972504334902037,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00678,2026-06-30,2026-07-23,-0.2972504334902037,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00680L,2026-06-30,2026-06-30,-7.0637119113573394,LOSER,-7.0637119113573394,LOSER,2026-07-15,False,False,NO_COPY_PATTERN
00685L,2026-06-15,2026-06-15,3.3958438925494105,NEUTRAL,3.3958438925494105,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00685L,2026-06-15,2026-06-16,3.3958438925494105,NEUTRAL,,,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00685L,2026-06-15,2026-06-18,3.3958438925494105,NEUTRAL,,,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00685L,2026-06-15,2026-06-22,3.3958438925494105,NEUTRAL,,,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00688L,2026-06-30,2026-06-30,-6.8340306834030695,LOSER,-6.8340306834030695,LOSER,2026-07-15,False,False,NO_COPY_PATTERN
00690,2026-06-15,2026-06-15,1.3707165109034136,NEUTRAL,1.3707165109034136,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00690,2026-06-15,2026-06-16,1.3707165109034136,NEUTRAL,2.5862068965517127,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00690,2026-06-15,2026-06-22,1.3707165109034136,NEUTRAL,-3.8846380223660937,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00690,2026-06-15,2026-07-01,1.3707165109034136,NEUTRAL,-7.142857142857151,LOSER,2026-07-16,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00692,2026-06-15,2026-06-15,2.251510159253156,NEUTRAL,2.251510159253156,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00692,2026-06-15,2026-06-16,2.251510159253156,NEUTRAL,2.8368794326241176,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00692,2026-06-15,2026-06-18,2.251510159253156,NEUTRAL,0.4849137931034475,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00692,2026-06-15,2026-06-22,2.251510159253156,NEUTRAL,-2.4517475221700558,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00692,2026-06-15,2026-07-01,2.251510159253156,NEUTRAL,-3.9787798408488118,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00701,2026-06-15,2026-06-15,4.253056884635842,NEUTRAL,4.253056884635842,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00701,2026-06-15,2026-06-16,4.253056884635842,NEUTRAL,2.0157068062827133,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00701,2026-06-15,2026-06-18,4.253056884635842,NEUTRAL,-0.9395632300660317,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00701,2026-06-15,2026-06-22,4.253056884635842,NEUTRAL,-1.4285714285714346,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00701,2026-06-15,2026-06-30,4.253056884635842,NEUTRAL,-0.025497195308510356,NEUTRAL,2026-07-15,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00712,2026-06-29,2026-06-29,0.3420752565564511,NEUTRAL,0.3420752565564511,NEUTRAL,2026-07-14,False,False,NO_COPY_PATTERN
00712,2026-06-29,2026-07-08,0.3420752565564511,NEUTRAL,0.0,NEUTRAL,2026-07-23,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00712,2026-06-29,2026-07-17,0.3420752565564511,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00712,2026-06-29,2026-07-20,0.3420752565564511,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00712,2026-06-29,2026-07-22,0.3420752565564511,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00714,2026-06-30,2026-06-30,0.0,NEUTRAL,0.0,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00714,2026-06-30,2026-07-22,0.0,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00714,2026-06-30,2026-07-23,0.0,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00728,2026-07-01,2026-07-01,-2.4981074943224657,NEUTRAL,-2.4981074943224657,NEUTRAL,2026-07-16,False,False,NO_COPY_PATTERN
00731,2026-06-15,2026-06-15,1.8327605956472093,NEUTRAL,1.8327605956472093,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00731,2026-06-15,2026-06-16,1.8327605956472093,NEUTRAL,-0.8417508417508435,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00731,2026-06-15,2026-06-18,1.8327605956472093,NEUTRAL,-3.713817586018564,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00731,2026-06-15,2026-06-22,1.8327605956472093,NEUTRAL,-3.4934497816593746,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00731,2026-06-15,2026-06-30,1.8327605956472093,NEUTRAL,-0.11248593925760053,NEUTRAL,2026-07-15,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00731,2026-06-15,2026-07-01,1.8327605956472093,NEUTRAL,0.28296547821164975,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00733,2026-06-18,2026-06-18,0.575079872204487,NEUTRAL,0.575079872204487,NEUTRAL,2026-07-03,False,False,NO_COPY_PATTERN
00733,2026-06-18,2026-06-22,0.575079872204487,NEUTRAL,-3.609209707529548,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00735,2026-06-15,2026-06-15,3.4070796460176966,NEUTRAL,3.4070796460176966,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00735,2026-06-15,2026-06-16,3.4070796460176966,NEUTRAL,1.5371102327624175,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00735,2026-06-15,2026-06-18,3.4070796460176966,NEUTRAL,-4.47635135135136,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00735,2026-06-15,2026-06-22,3.4070796460176966,NEUTRAL,-8.194048104362018,LOSER,2026-07-06,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00739,2026-06-30,2026-06-30,-2.1841397849462485,NEUTRAL,-2.1841397849462485,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00739,2026-06-30,2026-07-01,-2.1841397849462485,NEUTRAL,-3.7767379679144453,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00762,2026-06-18,2026-06-18,-6.450287592440429,LOSER,-6.450287592440429,LOSER,2026-07-03,False,False,NO_COPY_PATTERN
00762,2026-06-18,2026-06-22,-6.450287592440429,LOSER,-6.983353633779954,LOSER,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00783,2026-06-30,2026-06-30,-6.727444199937116,LOSER,-6.727444199937116,LOSER,2026-07-15,False,False,NO_COPY_PATTERN
00783,2026-06-30,2026-07-01,-6.727444199937116,LOSER,-9.215442092154413,LOSER,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
