stock_id,stock_name,episode_start_date,entry_close,day1_return,day3_return,day5_return,day10_return,maturity_status,selection_use
3022,威強電,2026-07-13,88.3,-2.2650056625141524,-3.9637599093997777,-11.325028312570783,3.850509626274068,MATURED_FOR_WATCH_EVALUATION_ONLY,EXCLUDED_FROM_POLICY_SELECTION
6505,台塑化,2026-07-13,63.1,4.912836767036444,26.78288431061806,23.137876386687807,23.454833597464344,MATURED_FOR_WATCH_EVALUATION_ONLY,EXCLUDED_FROM_POLICY_SELECTION
1301,台塑,2026-07-14,63.6,3.301886792452824,-1.2578616352201366,-0.9433962264150941,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1434,福懋,2026-07-15,19.55,-0.5115089514066584,-5.115089514066495,-1.7902813299232823,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1810,和成,2026-07-21,31.05,9.98389694041868,-7.890499194847022,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2912,統一超,2026-07-21,243.0,-1.4403292181069949,-0.8230452674897082,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1710,東聯,2026-07-22,17.55,-4.273504273504269,-16.524216524216527,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2027,大成鋼,2026-07-22,43.75,1.4857142857142902,1.8285714285714239,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2377,微星,2026-07-22,155.0,-1.9354838709677469,-5.483870967741932,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2425,承啟,2026-07-22,45.15,1.439645625692143,1.882613510520481,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2615,萬海,2026-07-22,85.1,-0.7050528789659172,-1.2925969447708519,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
5388,中磊,2026-07-22,87.2,2.178899082568808,3.8990825688073327,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6414,樺漢,2026-07-22,490.0,2.6530612244898055,-4.285714285714281,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6416,瑞祺電通,2026-07-22,106.0,0.4716981132075526,-3.7735849056603765,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1434,福懋,2026-07-23,19.5,-1.7948717948717996,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1709,和益,2026-07-23,27.2,-3.492647058823528,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2103,台橡,2026-07-23,23.85,-2.3060796645702375,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2527,宏璟,2026-07-23,48.7,-5.2361396303901575,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
3022,威強電,2026-07-23,92.2,1.9522776572667988,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
3231,緯創,2026-07-23,173.5,3.170028818443793,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
3605,宏致,2026-07-23,94.5,-3.703703703703709,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
