dataset,policy,metric_scope,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,p25_future_return_10d,p75_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate,date_distribution,sample_warning,coverage_pp_vs_survival,safe_rate_pp_vs_survival,loser_rate_pp_vs_survival
A,SURVIVAL_ONLY,MICRO,92,14,14,6.571428571428571,6.5,0.0,0.37398373983739835,6,0.06521739130434782,72,0.782608695652174,14,0.15217391304347827,0.09286540233783813,0.23936512976135593,0.8478260869565217,0.07692307692307693,0.2727272727272727,0.6129032258064516,0.631578947368421,1.83586638799697,0.0,-2.8310446802201046,1.9405013591060116,0.07976190476190477,0.7829455266955268,0.13729256854256855,0.8627074314574316,"{""2026-06-11"": 7, ""2026-06-12"": 2, ""2026-06-15"": 9, ""2026-06-16"": 2, ""2026-06-17"": 5, ""2026-06-18"": 1, ""2026-06-22"": 2, ""2026-06-23"": 6, ""2026-06-24"": 8, ""2026-06-25"": 9, ""2026-06-26"": 10, ""2026-06-29"": 11, ""2026-06-30"": 16, ""2026-07-01"": 4}",,0.0,0.0,0.0
A,OLD_ACTIVITY_PLUS_SURVIVAL,MICRO,51,11,14,3.642857142857143,3.0,0.21428571428571427,0.2073170731707317,6,0.11764705882352941,37,0.7254901960784313,8,0.1568627450980392,0.0816922317826782,0.2801044688529251,0.8431372549019608,0.13953488372093023,0.2727272727272727,0.8010752688172043,0.7894736842105263,3.870440432811427,0.2000000000000001,-2.873030174545965,2.4517724605593094,0.10909090909090909,0.734090909090909,0.15681818181818183,0.8431818181818183,"{""2026-06-11"": 7, ""2026-06-12"": 2, ""2026-06-15"": 0, ""2026-06-16"": 1, ""2026-06-17"": 4, ""2026-06-18"": 0, ""2026-06-22"": 2, ""2026-06-23"": 5, ""2026-06-24"": 8, ""2026-06-25"": 8, ""2026-06-26"": 8, ""2026-06-29"": 5, ""2026-06-30"": 0, ""2026-07-01"": 1}",,-16.666666666666664,-0.4688832054560943,0.4688832054560943
A,ACTIVE_DURABLE_PLUS_SURVIVAL,MICRO,39,10,14,2.7857142857142856,1.5,0.2857142857142857,0.15853658536585366,4,0.10256410256410256,32,0.8205128205128205,3,0.07692307692307693,0.026507395097205205,0.20321071297573554,0.9230769230769231,0.1111111111111111,0.18181818181818182,0.8279569892473119,0.9210526315789473,3.5358522410653745,0.0,-2.873030174545965,2.8180869633371963,0.15833333333333333,0.7716666666666666,0.06999999999999999,0.93,"{""2026-06-11"": 5, ""2026-06-12"": 2, ""2026-06-15"": 0, ""2026-06-16"": 1, ""2026-06-17"": 5, ""2026-06-18"": 0, ""2026-06-22"": 1, ""2026-06-23"": 3, ""2026-06-24"": 8, ""2026-06-25"": 7, ""2026-06-26"": 0, ""2026-06-29"": 6, ""2026-06-30"": 0, ""2026-07-01"": 1}",,-21.54471544715447,7.52508361204014,-7.5250836120401345
B,SURVIVAL_ONLY,MICRO,36,6,6,6.0,6.5,0.0,0.41379310344827586,1,0.027777777777777776,26,0.7222222222222222,9,0.25,0.13750477596964275,0.410704539014797,0.75,0.037037037037037035,1.0,0.44680851063829785,0.7692307692307693,-2.7507666379057505,-2.187222433701308,-5.732609658839166,-0.7606192083132457,0.027777777777777776,0.6832010582010583,0.289021164021164,0.7109788359788359,"{""2026-07-02"": 9, ""2026-07-03"": 7, ""2026-07-06"": 7, ""2026-07-07"": 6, ""2026-07-08"": 3, ""2026-07-09"": 4}",SHORT_STRESS_WINDOW,0.0,0.0,0.0
B,OLD_ACTIVITY_PLUS_SURVIVAL,MICRO,35,6,6,5.833333333333333,6.5,0.0,0.40229885057471265,1,0.02857142857142857,25,0.7142857142857143,9,0.2571428571428571,0.14163027001090167,0.42069306980097376,0.7428571428571429,0.038461538461538464,1.0,0.46808510638297873,0.7692307692307693,-2.7505204876043505,-2.0270270270270285,-5.843597696056713,-0.7338368418233432,0.027777777777777776,0.6415343915343915,0.33068783068783064,0.6693121693121693,"{""2026-07-02"": 9, ""2026-07-03"": 7, ""2026-07-06"": 7, ""2026-07-07"": 6, ""2026-07-08"": 3, ""2026-07-09"": 3}",SHORT_STRESS_WINDOW,-1.1494252873563204,-0.7142857142857117,0.7142857142857117
B,ACTIVE_DURABLE_PLUS_SURVIVAL,MICRO,32,6,6,5.333333333333333,5.5,0.0,0.367816091954023,0,0.0,24,0.75,8,0.25,0.1325240085114254,0.4210655913709147,0.75,0.0,0.0,0.48936170212765956,0.7948717948717948,-3.136807550887782,-2.187222433701308,-5.732609658839166,-0.7606192083132457,0.0,0.7665343915343916,0.23346560846560846,0.7665343915343916,"{""2026-07-02"": 9, ""2026-07-03"": 7, ""2026-07-06"": 7, ""2026-07-07"": 3, ""2026-07-08"": 2, ""2026-07-09"": 4}",SHORT_STRESS_WINDOW,-4.597701149425287,0.0,0.0
