dataset,pocket_quadrant,n,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,safe_rate,winner_dominance,mean_return_10d,median_return_10d,MFE_10d,MAE_10d,macro_daily_safe_rate,signal_date_count,market_path_distribution,momentum_rank_percentile_median,sector_size_median,control_note,sample_warning
A,Q1_ACTIVE_DURABLE,102,16,0.1568627450980392,66,0.6470588235294118,20,0.19607843137254902,0.803921568627451,0.1951219512195122,3.263797374445379,0.1635402125513163,12.997144880892046,-5.070494299182369,0.7541458541458542,12,"{""NORMAL"": 69, ""RISK_OFF"": 23, ""WEAKENING"": 10}",0.523157894736842,43.0,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,
A,Q2_ACTIVE_FRAGILE,35,4,0.11428571428571428,21,0.6,10,0.2857142857142857,0.7142857142857143,0.16,0.5951871501135695,-1.7429193899782036,10.725947808706605,-6.579075439657,0.5124875124875125,7,"{""NORMAL"": 17, ""WEAKENING"": 13, ""RISK_OFF"": 5}",0.5384615384615384,56.0,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,
A,Q3_QUIET_DURABLE,1,0,0.0,1,1.0,0,0.0,1.0,0.0,-4.651162790697672,-4.651162790697672,0.7751937984496138,-5.813953488372093,1.0,1,"{""NORMAL"": 1}",0.95,16.0,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,
A,Q4_INACTIVE,108,2,0.018518518518518517,98,0.9074074074074074,8,0.07407407407407407,0.9259259259259259,0.02,1.2006013486518077,1.515573867666331,5.285353070173551,-3.57285781398569,0.9301844354475933,13,"{""NORMAL"": 81, ""WEAKENING"": 20, ""RISK_OFF"": 7}",0.5285714285714286,56.0,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,
B,Q1_ACTIVE_DURABLE,70,0,0.0,37,0.5285714285714286,33,0.4714285714285714,0.5285714285714286,0.0,-7.701264038427527,-5.294653705953827,4.478867501181658,-11.10010530178457,0.6047139815522169,6,"{""NORMAL"": 50, ""RISK_OFF"": 11, ""WEAKENING"": 9}",0.5339366515837104,45.0,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,SHORT_STRESS_WINDOW
B,Q2_ACTIVE_FRAGILE,14,1,0.07142857142857142,8,0.5714285714285714,5,0.35714285714285715,0.6428571428571429,0.1111111111111111,-2.331475255920647,-2.5815550649987697,5.809702251209382,-8.106361011837107,0.712121212121212,3,"{""NORMAL"": 11, ""WEAKENING"": 2, ""RISK_OFF"": 1}",0.6071428571428572,38.0,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,SHORT_STRESS_WINDOW
B,Q3_QUIET_DURABLE,0,0,,0,,0,,,,,,,,,0,{},,,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,SHORT_STRESS_WINDOW
B,Q4_INACTIVE,3,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0.6666666666666666,0.0,-5.84136415579664,-0.7142857142857117,7.5625434290781826,-7.25439355613338,0.75,2,"{""NORMAL"": 2, ""RISK_OFF"": 1}",0.3333333333333333,,market/date/rank/sector-size disclosed; sparse cells prevent causal matched claim,SHORT_STRESS_WINDOW
