stock_id,stock_name,evaluation_date,dataset,survival_relative_strength_raw,survival_relative_strength_percentile,survival_relative_strength_threshold,survival_relative_strength_pass,survival_market_down_day_raw,survival_market_down_day_percentile,survival_market_down_day_threshold,survival_market_down_day_pass,survival_rank_health_raw,survival_rank_health_percentile,survival_rank_health_threshold,survival_rank_health_pass,survival_flow_persistence_raw,survival_flow_persistence_percentile,survival_flow_persistence_threshold,survival_flow_persistence_pass,survival_trend_efficiency_raw,survival_trend_efficiency_percentile,survival_trend_efficiency_threshold,survival_trend_efficiency_pass,survival_bundle_pass,threshold_source,threshold_version,bundle_definition
5546,永固-KY,2026-06-11,A,19.010370203428774,100.0,0.0,True,0.8,62.916666666666664,70.0,False,226.0,100.0,0.0,True,0.9,92.08333333333331,50.0,True,0.0888888888888886,15.0,50.0,False,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
6133,金橋,2026-06-11,A,-1.184867996147825,79.45205479452055,0.0,False,0.6,41.66666666666667,70.0,False,48.0,79.45205479452055,0.0,True,0.8,82.08333333333333,50.0,True,0.040816326530612,6.666666666666667,50.0,False,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
6141,柏承,2026-06-11,A,4.80077085283159,,0.0,True,0.2,6.666666666666667,70.0,False,,,0.0,False,0.5,29.583333333333332,50.0,False,0.674418604651163,80.83333333333333,50.0,True,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
6189,豐藝,2026-06-11,A,-1.7930571075907311,,0.0,False,0.4,21.25,70.0,False,,,0.0,False,0.5,29.583333333333332,50.0,False,0.1145833333333331,21.666666666666668,50.0,False,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
8070,長華*,2026-06-11,A,0.870809113759222,,0.0,True,0.6,41.66666666666667,70.0,False,,,0.0,False,0.6,48.75,50.0,False,0.3361702127659575,45.83333333333333,50.0,False,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
9945,潤泰新,2026-06-11,A,4.56533102953927,68.4931506849315,0.0,True,0.8,62.916666666666664,70.0,False,31.0,68.4931506849315,0.0,True,0.2,3.75,50.0,False,0.6666666666666681,79.16666666666666,50.0,True,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
2393,億光,2026-06-12,A,21.84815887969624,,0.0,True,0.8,67.5,70.0,False,,,0.0,False,0.5,23.75,50.0,False,0.6461538461538466,85.0,50.0,True,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
2413,環科,2026-06-12,A,2.209431691755787,,0.0,True,0.4,21.25,70.0,False,,,0.0,False,0.6,43.333333333333336,50.0,False,0.4504504504504504,60.0,50.0,True,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
2636,台驊控股,2026-06-12,A,4.936591687494217,,0.0,True,1.0,90.83333333333331,70.0,True,,,0.0,False,0.9,88.75,50.0,True,0.6140350877192964,79.16666666666666,50.0,True,True,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
3576,聯合再生,2026-06-12,A,16.464399302080658,100.0,0.0,True,0.2,7.916666666666666,70.0,False,227.0,100.0,0.0,True,0.5,23.75,50.0,False,0.1736526946107782,28.333333333333332,50.0,False,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
6205,詮欣,2026-06-12,A,21.364732717501607,,0.0,True,0.4,21.25,70.0,False,,,0.0,False,0.6,43.333333333333336,50.0,False,0.2098765432098765,35.833333333333336,50.0,False,False,PHASE3F_V2_DATASET_A_LOCKED,phase3f_v2_bundle_A,market_down_day top120 percentile >=70; other predicates diagnostic only
